model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,config,seed,strain,n_members,secs
A+D,0.4973429013594477,0.48538126978937485,0.33605155889693833,0.22308462309633503,0.6428714636491181,0.8895597707727049,0.40351257924335765,0.3507725599813447,0.28320190437284176,0.633249733920613,0.568658722623374,0.9864477807191788,0.9718399729677727,0.8708306601713266,0.8373651871041495,A+D,1,CGD,2,373.7
A+D,0.46737365031722644,0.4969684542768096,0.3061582908162937,0.23977883992029567,0.6175495632947057,0.8787326387535481,0.39444981078662494,0.24268835660148802,0.2640568314869136,0.6391961073622967,0.5549204303190103,0.984414373696267,0.9672779505975588,0.8592446761721365,0.8270784524016812,A+D,6,CGD,2,324.2
A+D,0.457914614959833,0.49402343845576724,0.2834069957015111,0.17833588702984837,0.6197625060616551,0.8659996828306876,0.3800589178654647,0.3030110649414248,0.20014331805291416,0.6166702850818735,0.5480408764054817,0.981478150291511,0.961179632859441,0.8508517758750369,0.8170218530616382,A+D,3,BAH,2,322.6
A+D,0.46184567267075816,0.489320938211066,0.2903458066411052,0.16359375743953014,0.6414378822247494,0.864483377901019,0.3779156638349026,0.31611503032520716,0.21172889357970365,0.6163161459194116,0.5453936351781062,0.9810587063779295,0.9600389895113043,0.8499381118514114,0.8161890516913454,A+D,8,BAH,2,307.6
A+D,0.43664194769402104,0.5211810755412868,0.264619828412878,0.22548886262285028,0.6307930816496684,0.8540416205963522,0.37492710339022967,0.21484643748069765,0.1947321312969881,0.6283186159608041,0.5470854475115124,0.9801735255722871,0.9586437501454543,0.8393008535333659,0.8175800817670553,A+D,7,BAH,2,316.4
A+B+C,0.498613695441234,0.48730919832160835,0.3355163024362362,0.2235828844954758,0.6434753484905222,0.8897432547294323,0.4042549539929522,0.3555148132101458,0.2834252564583911,0.6337663529951703,0.568733135277702,0.9864833960893661,0.9719040470492174,0.8709621063384506,0.8370699459364107,A+B+C,1,CGD,3,462.2
A+B+C,0.46578074317793694,0.5066922663391266,0.3084088270066808,0.24117715906445775,0.6326538482215283,0.8805221969832983,0.40062980349330846,0.23131158074806177,0.2646638333385613,0.6240151982487414,0.5584450053150283,0.984865051188649,0.9686136393926688,0.8613019830841157,0.829890698596579,A+B+C,5,CGD,3,470.4
A+B+C,0.4676090125037509,0.49701174410713633,0.30588449494290276,0.23948602193792165,0.6184377331232748,0.8788226202474159,0.3943757020988812,0.2435634296097699,0.26436428068476137,0.6393977969852533,0.554504823442317,0.9844278356584316,0.9673017565641778,0.8592743080061671,0.8265980893651989,A+B+C,6,CGD,3,485.1
A+B+C,0.45834579822718197,0.4945393155702717,0.28231552595116804,0.17836726658169108,0.6214354150339265,0.8660060021441457,0.37999833110413034,0.30513569823331543,0.19994852409427924,0.6172756619249289,0.5480120872861679,0.9814566136146661,0.9611364006235212,0.8508266540891989,0.8173952522386789,A+B+C,3,BAH,3,539.2
A+B+C,0.4374037911529718,0.5223738018876147,0.2637384447538556,0.22610824203235286,0.6321839395661726,0.854199955571362,0.37509519463544194,0.21792572401176985,0.19477809808354174,0.6288661106907645,0.547252517834003,0.9801642313702392,0.9586296557785375,0.839571004409787,0.8182256212490435,A+B+C,7,BAH,3,479.0
A+B+C,0.4623303330464376,0.48979012716170517,0.28964865682833585,0.16364213747569387,0.6422845932002929,0.8645383323225768,0.37790781327868755,0.31820553188016854,0.21186847294446978,0.616673832792775,0.5452705803609035,0.9810455186797075,0.9600156401667959,0.8500244387121447,0.8162040613674391,A+B+C,8,BAH,3,535.8
A+D+E,0.4986385675689885,0.4875988954391281,0.3349451653039006,0.22286820679473648,0.6439052466928696,0.8896702912891462,0.4040966990872259,0.35656256759467575,0.28295869254197076,0.6334181406368276,0.568685368966814,0.9864498883104932,0.9718473028433288,0.8709967223940649,0.8373889135754545,A+D+E,1,CGD,3,483.1
A+D+E,0.46560369177601324,0.5071239900188401,0.3077878399271268,0.24011948690629822,0.6330964080882387,0.8804142129759263,0.40044587894715744,0.2315953246613223,0.26401895684878723,0.6238480242284891,0.558034414383357,0.9848304462211891,0.968553141596345,0.8613366257120292,0.8295177192340039,A+D+E,5,CGD,3,506.3
A+D+E,0.45900422324229073,0.4952626254618565,0.28319122915220324,0.178295851635004,0.621307125867528,0.8661565286056397,0.3806084809934015,0.30702817053798875,0.20050364887520597,0.6171498396450827,0.5479889885133038,0.9814973772936787,0.9612259118840141,0.851005717103335,0.8171061233765619,A+D+E,3,BAH,3,455.7
A+D+E,0.4676859115840523,0.4977421583992135,0.30505804426229305,0.23923082121128753,0.6190509807635057,0.8787027452737064,0.39434087532579704,0.24463281408540416,0.2638067062706973,0.6394370461870582,0.5545707001587131,0.9843977569539015,0.9672449340384044,0.8592831007402142,0.8267482111177271,A+D+E,6,CGD,3,486.8
A+D+E,0.43704930813497633,0.5218798454738572,0.2641445621576701,0.22534551294018962,0.6322882848730979,0.8542008226315927,0.3750351382032491,0.21623533235265413,0.1949082334653756,0.6286826895951169,0.5470675386945563,0.9801827926164578,0.9586740934851238,0.8395384883907308,0.8178807653041499,A+D+E,7,BAH,3,515.9
A+D+E,0.46274827375389355,0.4905148430059162,0.28955814141930913,0.16370696602135026,0.6429456819099277,0.8645338891084662,0.3782275856074786,0.3200252006839333,0.2116587198103537,0.616791583872385,0.5453731408846959,0.9810588580554792,0.9600337441711667,0.8500055681375888,0.8160889319093483,A+D+E,8,BAH,3,527.2
A+B+C+D+E,0.49901093818512665,0.4879171689312633,0.33534516842124146,0.22324741637157403,0.6439879161980478,0.8897720968689888,0.4044391535536131,0.3573424238648392,0.28330442428300023,0.6337181176147675,0.5689109806376192,0.9864746554257329,0.9718929623252943,0.8710556216962004,0.8374711144482802,A+B+C+D+E,1,CGD,5,815.8
