model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,config,seed,strain,tag,TOTAL_additive_only,secs
FB_early_plate1,0.473303527291414,0.4978624703205457,0.321761275088765,0.2465561663994896,0.6189099781345554,0.8842427203521881,0.4020956109351957,0.2455222821914797,0.273505757498439,0.6430441090046541,0.5564212329745668,0.9855355401607476,0.9694080936530132,0.8645987724301187,0.8257238941472899,FB_early_plate1,6,CGD,real,0.4586152676740024,1436.8
FD_early_pert2,0.4619479000317827,0.4893950028787352,0.2903254233991581,0.1619113931253483,0.6402857669199411,0.8644622872028098,0.3776321400961344,0.3169921727929534,0.2124703830198637,0.6152748236936898,0.5445482807050935,0.9809008069821932,0.9596757345767538,0.8505354349495252,0.8148893595524602,FD_early_pert2,8,BAH,real,0.4447575958755563,1454.1
FC_early_plate4,0.4376184928828569,0.5231748427146314,0.2605418869465866,0.2318946699708502,0.6331621870514691,0.8515249530206587,0.3745970862903718,0.2214346511777188,0.1951056924800858,0.6302072797125814,0.5467086800662637,0.979586079266254,0.957403609562956,0.8365218609095256,0.8169328755989563,FC_early_plate4,7,BAH,real,0.4276458943106664,1465.3
FB_early_plate1,0.4629800086558606,0.4902477975564825,0.2887561583138798,0.1620629801432425,0.6433645222030678,0.8651965332848207,0.3776082341111918,0.3234804358811788,0.2103254002417334,0.6160517780444724,0.5434459688413766,0.9809965304725676,0.9598637555864648,0.8518084222874444,0.8139543385737562,FB_early_plate1,8,BAH,real,0.4441045916110809,1468.3
FE_early_pert8,0.4727308510281184,0.4961439800564072,0.3205703779716478,0.245502140157834,0.621029834853697,0.8831952704237673,0.400922165534547,0.244246714270107,0.2744615260638507,0.6430061353126909,0.5563798792333492,0.9853598804294328,0.9690439518804144,0.8631044344696963,0.8258724256993903,FE_early_pert8,6,CGD,real,0.4568985720739291,1480.9
FE16_early_pert16,0.46116428827481615,0.4961712663695679,0.2822605043311984,0.17557143300683756,0.6236879430304445,0.8659602101137924,0.38041645822849585,0.3175538297276644,0.2019304734534387,0.6168565131802861,0.5457123948136892,0.9813070125818701,0.960806205465352,0.8512490907014256,0.8139719369482609,FE16_early_pert16,3,BAH,real,0.4386786998869594,1197.5
E16_pert16,0.5030952269590306,0.49523508118023835,0.3327492158397881,0.22105998819834086,0.6462479016188254,0.8892682089627258,0.4064789315365297,0.37602759759104737,0.28322652508028956,0.6335617762849266,0.56829700239186,0.9863452604589884,0.971633508319675,0.8707639416686259,0.8356209938599901,E16_pert16,1,CGD,real,0.4634778048627357,1266.5
E16_pert16,0.4648141453988993,0.4912012341510338,0.2900338513772941,0.16317839128770528,0.643857589033208,0.8642875883404583,0.37867844425393926,0.32829787750112427,0.21369858545187323,0.6168206913315626,0.5441130988713411,0.9810138393593699,0.9599563770306295,0.8495752038812191,0.8141134213199793,E16_pert16,8,BAH,real,0.44166310219424787,1268.0
E16_pert16,0.4647747672310476,0.5052333494448318,0.30602506414734704,0.23536722965955179,0.6357316795237697,0.8796045761201208,0.39851374321485344,0.23088752875009536,0.26482210720532995,0.62332567734181,0.5550184255608809,0.9846693860745156,0.9682201180322182,0.8606735708867627,0.8268551688364199,E16_pert16,5,CGD,real,0.4470148150957455,1268.8
FE16_early_pert16,0.5076012303093889,0.4959232168764232,0.34788161106743315,0.22618063149116951,0.6467412792907075,0.8937301721232673,0.4130831994019879,0.37757974138863704,0.2901323221528627,0.6347895605066847,0.5712605455054011,0.9872385547558032,0.9733180828128695,0.8752886856784716,0.836505211357357,FE16_early_pert16,1,CGD,real,0.46661837582618937,1275.4
FE16_early_pert16,0.47328472638480507,0.49741815728567035,0.3193732192098276,0.2441389776511313,0.6211361624709626,0.8829877377175305,0.4007819165782694,0.24809669702827553,0.2741544156620946,0.6425082502316102,0.555813042709932,0.985321356784522,0.9689440058425227,0.8629843614764074,0.8249160480637261,FE16_early_pert16,6,CGD,real,0.4551922697318723,1290.6
E16_pert16,0.4360489581375594,0.5179909070557299,0.2653763143984748,0.22425089239947693,0.6342335881872128,0.8540533729800381,0.3742746810119123,0.2098784536953654,0.19766898701870264,0.6288561310071705,0.5454902409008594,0.9801406141737827,0.958637935854685,0.8394441569085181,0.8161441917366745,E16_pert16,7,BAH,real,0.4260511719526673,1304.9
E16_pert16,0.46183755390920106,0.4963708836408653,0.284273584362973,0.17776016285587243,0.6234199070342697,0.8659799263470581,0.38152804396008205,0.3175949310705225,0.20309008838249962,0.617764496924057,0.5469220813351763,0.9814698355714702,0.9612061131409245,0.8504939471819633,0.8154854388871428,E16_pert16,3,BAH,real,0.4393025268368034,1332.9
FE16_early_pert16,0.4645249304481881,0.49146936822154824,0.28806838607763885,0.16153514241981148,0.6440023412282219,0.8646021570240248,0.37782582325939196,0.32885664240815754,0.21305569808400615,0.6161103850091856,0.5430907325836777,0.9808986583182299,0.9596364130078686,0.8506893361331508,0.8127847652117476,FE16_early_pert16,8,BAH,real,0.4412663688790929,1340.6
FE16_early_pert16,0.4357095996882402,0.5181968474406585,0.2625857418481603,0.22545616908836744,0.6342711607359721,0.8542555557642535,0.37317556053482137,0.2106012748868602,0.19643044223659933,0.6293063344724148,0.5445524305950161,0.9799740826242278,0.9582259421107183,0.8404322671555443,0.8152201929568745,FE16_early_pert16,7,BAH,real,0.42540832159313513,1341.2
E16_pert16,0.46740297854355717,0.4965329341713021,0.3032528402793197,0.23514972273494586,0.6206610761548104,0.8777094852085263,0.3927044397296275,0.24674835340055157,0.264579373184813,0.6381990547269498,0.5519904155935423,0.9842214053256652,0.9668686866070252,0.8583468008304646,0.8240555705110986,E16_pert16,6,CGD,real,0.450413907668048,1342.4
FE16_early_pert16,0.4694716612688714,0.5048748606851511,0.32073162204010264,0.24524545836622338,0.6358632013323254,0.8845949035472814,0.4055326715217697,0.23006397564518616,0.27291882423056973,0.6265857956019918,0.5582874628724471,0.9857166897333443,0.9701985534236308,0.8650655811758068,0.8276478493150926,FE16_early_pert16,5,CGD,real,0.4511339065900214,1342.2
