model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,config,seed,strain,TOTAL_additive_only,secs
+ time,0.43998316644761276,0.5148221185344108,0.27557919379381846,0.21011979838349323,0.5905556329176409,0.8432866664842222,0.37893124895362496,0.19515410476108455,0.2419994776928268,0.6162014758067142,0.5508431368181662,0.979258518140829,0.9564898762864554,0.8186559578626339,0.8271738059890518,+ time,2,DHY210,0.4298150135935866,185.7
+ time,0.4633727588211092,0.4454774554443536,0.2659177678421046,0.20155461304025138,0.6039170820123305,0.8646210677588615,0.35247457758582074,0.33181932936733716,0.22935245144120792,0.6298330783133665,0.54224473759672,0.9840896905105267,0.966436450059366,0.8463236122132308,0.824192986737416,+ time,4,CEK,0.45911702946295174,184.4
+ time,0.45223258030263813,0.48566684434280505,0.28355989541874116,0.17566640068615508,0.6062646740557567,0.8637094803189578,0.37527014151071153,0.2925032613255237,0.19431754388931644,0.6114969365971292,0.5431858831697548,0.9812979603421307,0.9609251468137608,0.8491669912712425,0.8148983019750832,+ time,3,BAH,0.44147911214488267,187.1
+ time,0.45629650619897555,0.5019587153061608,0.2950820122405556,0.2278408443625403,0.6199400560629768,0.8745638797344848,0.39082946138963204,0.22031031493466008,0.2519950580701075,0.6165737488270028,0.5511583084203348,0.9839179425300407,0.966572212987251,0.8570254638304755,0.8237899843898,+ time,5,CGD,0.4450902926974031,186.8
+ all three,0.485743512676189,0.47416237943073297,0.3188513292275815,0.21859782155186908,0.6310961364201537,0.8839632826919006,0.3909995639978195,0.3323200948457209,0.26745925500375345,0.6327505030279862,0.5594008973132087,0.9855641124195123,0.9699286410697776,0.8666085308733784,0.8297925090159493,+ all three,1,CGD,0.4677353031871098,189.4
+ all three,0.442422186973198,0.5066293980528883,0.27546453787630026,0.19773701686206074,0.5995599147370619,0.862507120952674,0.37468318861960714,0.19201930847034038,0.24063154515825297,0.6167872458013637,0.5608214064381281,0.9840187782197803,0.9660820128553018,0.8452469884200003,0.8378783658326542,+ all three,0,CEK,0.43212960371842457,193.3
+ all three,0.45158158792428016,0.48522745192483,0.2826365503878028,0.17533768844089354,0.6060550846926578,0.8636901310845667,0.3746874972425222,0.2915458816460602,0.19306192762186575,0.6111541383287358,0.5426942342055502,0.9812818826025278,0.9608989109504438,0.8493910373837267,0.8143529724158506,+ all three,3,BAH,0.4411485888547104,210.3
+ all three,0.4464079275680442,0.5144271489838074,0.28749371061532186,0.2198372346976467,0.5903924470898421,0.8541543283119029,0.385122566063865,0.19345979020061482,0.25249744700476107,0.6233742090411283,0.5553510408901864,0.9810005624664281,0.95985359712411,0.8338020693921596,0.8294326197039829,+ all three,2,DHY210,0.4361960278408281,213.7
+ all three,0.4559157229447493,0.501914164557188,0.2946372349637126,0.22686155486773132,0.6197159008414641,0.8747750981882013,0.39049010374623605,0.219513861538978,0.25127081310609173,0.6163791115179,0.5508666257949209,0.9839586685543004,0.966634200083955,0.8574693913674165,0.8230904300629845,+ all three,5,CGD,0.4451043925593339,176.2
+ all three,0.4675884896428413,0.4460789840190928,0.275222337546406,0.19819421979105825,0.6035777756311409,0.8711081163358643,0.35593101835540497,0.3334823792460771,0.2372202459988982,0.6301250360602502,0.5446216626359415,0.9849388207190573,0.9680078113579826,0.8556064954583121,0.8258825919362195,+ all three,4,CEK,0.4632339634321267,194.6
+ all three + medxtime,0.44183475208819145,0.506719206102751,0.2737313036955645,0.19753011266730827,0.599832371086165,0.862808438424453,0.3739562210008025,0.19199969878472778,0.23805113758620353,0.6173496084727877,0.5607776206327048,0.9840485958731077,0.9661450072882216,0.845833774860727,0.8384293694429734,+ all three + medxtime,0,CEK,0.431933216466207,190.3
+ all three + medxtime,0.45603942817743515,0.5021116477370076,0.2949152803697145,0.22549443668433988,0.6201034658209238,0.8747982855049412,0.3905235059587782,0.2200014279042762,0.25146352144624823,0.6161331239290019,0.550851846474946,0.9839449534761382,0.9666010441804415,0.8577421486141813,0.8231633108915182,+ all three + medxtime,5,CGD,0.44501465841564003,178.6
+ all three + medxtime,0.4512143532704058,0.48439818068754686,0.28298921384763787,0.1747917849843133,0.6074067125463477,0.8636249870407839,0.37445513401030567,0.2900084670040116,0.19310532858146312,0.6113612275886696,0.5423338096742126,0.9812682745869424,0.9608596034640943,0.8494185520615495,0.8140775479899977,+ all three + medxtime,3,BAH,0.4410424243230272,188.7
+ all three + medxtime,0.44658893061595545,0.5147119172921676,0.28727772201867036,0.21891811843022715,0.5905953524917643,0.8542272241967576,0.38503643784612673,0.19499201451652282,0.25203335571680224,0.6231161416052865,0.5553537621575709,0.9810256099282442,0.9598513124699422,0.8340354227530709,0.8297201358948264,+ all three + medxtime,2,DHY210,0.4359919795128695,189.9
