model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,config,seed,strain,TOTAL_additive_only,secs
instr lam=1,0.438248298975528,0.5054976889973417,0.2689390792987152,0.1924587235253734,0.5994790901005027,0.8503488364598644,0.3707703139576967,0.1893173609329367,0.24435689851223952,0.6101402029984475,0.554741620105018,0.9828678851859027,0.9637695637913934,0.8281951632345852,0.8241044438330744,instr lam=1,0,CEK,0.42920867167399235,199.6
instr lam=3,0.48650497213346344,0.47511588445368325,0.3203035167378816,0.21817074917176435,0.6304543308685806,0.8833872730527654,0.3918466642889033,0.33515061356514797,0.2691215957557519,0.6304582864217199,0.559311618886651,0.9855117570010528,0.9699142281237699,0.8650614635495161,0.8294190141515563,instr lam=3,1,CGD,0.4674280009924143,209.5
REF (no instrument),0.45472097109847404,0.4459350772721739,0.24974345855934416,0.19164730582806863,0.6031974139467366,0.8436792520035137,0.3449069242325836,0.3332556521724789,0.22224340283286179,0.6211609037943133,0.530849765182518,0.9806578008332865,0.9596130127149112,0.8195655930528768,0.8082455671182024,REF (no instrument),4,CEK,0.4496417489126358,214.1
instr lam=1,0.4858725002016558,0.4740003142116222,0.3203251604018137,0.21814105425659283,0.6309620020134682,0.8835231009825266,0.3913994980128753,0.3324566675714776,0.2690623484604904,0.6305593989650208,0.5591652479807184,0.9855274108926747,0.9699470060353202,0.8653138300365296,0.8293190294283408,instr lam=1,1,CGD,0.4674434005090481,221.3
instr lam=3,0.4515064988960204,0.48429221991464233,0.28395420638084357,0.17588570162693193,0.6067815280491788,0.8632455217030872,0.37487670020222125,0.28894126311864815,0.19522761154074372,0.6114458628321993,0.5431971657949872,0.9812758864556576,0.9608873810639791,0.8483570520364759,0.8143125670233331,instr lam=3,3,BAH,0.44161019366382614,166.8
instr lam=3,0.46539653901505545,0.44608372724816664,0.26731327746732636,0.20554376330045163,0.6042307202384273,0.8613146256846682,0.35382198120782904,0.33368548912419793,0.23948018688448772,0.630140359153977,0.5406189491805932,0.9839028884125774,0.9661206483687667,0.8409710294463101,0.8151550073781608,instr lam=3,4,CEK,0.46089111159669605,170.5
instr lam=8,0.43909655291131494,0.5060901991925564,0.26961033685854074,0.19263718034878047,0.6002977304737133,0.8505575668913019,0.3713619770680678,0.19092319224657608,0.24531076526124715,0.6111231892460677,0.5557086967973236,0.9827990304066433,0.963769561814345,0.8277794567077814,0.8249010009354119,instr lam=8,0,CEK,0.4292619460236765,174.5
instr lam=3,0.4310519510192865,0.5149428476189614,0.2645370997008792,0.20139349764033693,0.5902113216092231,0.8215571533949437,0.37310176430589176,0.19525638135831488,0.2333828695830532,0.6054547362843852,0.5438351089422522,0.97750466401705,0.9514528068971296,0.7904598015125129,0.8136536430029627,instr lam=3,2,DHY210,0.42061926668531335,183.3
instr lam=3,0.4552758111110413,0.5006612039591407,0.2947153498706348,0.2291403963653974,0.6200575445824066,0.8739691576919385,0.39033747815721714,0.21661550057998233,0.25181063071993975,0.6167631602349765,0.5507213549973453,0.9838705011548355,0.9665359452377552,0.8556801737739219,0.8231274341836312,instr lam=3,5,CGD,0.4449537034372727,185.9
instr lam=8,0.46469159554585865,0.44504158858943926,0.2674385231641813,0.20483968605911487,0.6033013273251275,0.8612112948719001,0.353293500541511,0.3305280209805431,0.2402553453324758,0.6294996990398676,0.5403863653902077,0.9838436494422101,0.9660690180066706,0.8407209734665237,0.8146376480709258,instr lam=8,4,CEK,0.46086136145124024,181.4
