model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,config,seed,strain,TOTAL_additive_only,secs
"strain x0.25, pert x2",0.44443636618399246,0.5200293169558653,0.2742754824076344,0.21780309835710623,0.5986599974578114,0.8436607147551048,0.3818291281717647,0.21010633808815365,0.24228336604534984,0.6209159580552674,0.5535480911560562,0.9792389642084434,0.9565706045133684,0.8184718007233316,0.828783051921712,"strain x0.25, pert x2",2,DHY210,0.4335519142080334,184.5
"strain x0.25, pert x2",0.4647853603038039,0.5056512866789487,0.30920057483968244,0.24202553789359643,0.6278418199241578,0.8799697967049342,0.40032783071129024,0.22860041393902514,0.2639273918824256,0.6228450603963971,0.558387521621293,0.984793218808803,0.9684850431495174,0.8606290153324929,0.829719858662633,"strain x0.25, pert x2",5,CGD,0.4521763806594329,181.8
"strain x0.25, pert x4",0.4444908695920848,0.511536651156665,0.268486106498244,0.1899600143479038,0.6080159266110806,0.8553551445913793,0.3731128374709381,0.21048910404178106,0.24330210435434219,0.6141564551234803,0.5593548822900336,0.9830114752911318,0.964321915328739,0.8343370653345815,0.8359758984539442,"strain x0.25, pert x4",0,CEK,0.43118701982751073,191.7
"strain x0.25, pert x4",0.44364093964781287,0.5187078756362894,0.27339707506868555,0.21707882711289864,0.6006932055497703,0.8435418949159441,0.381002676316485,0.20742601113357972,0.2420658747989734,0.6215016542727273,0.5526669794343884,0.9792440195897685,0.9565986059114701,0.8181228791792515,0.8284239284150615,"strain x0.25, pert x4",2,DHY210,0.4325841496738002,201.8
"strain x0.25, pert x2",0.46839020819426935,0.4557748449350254,0.2665057026337449,0.20730272077361872,0.6104575991257576,0.8645879661610913,0.3580862844859204,0.3416620129896991,0.23490589077222343,0.6324786705034653,0.5477919207567986,0.9840000342673045,0.9664000574249189,0.8455655065412807,0.8301994985201571,"strain x0.25, pert x2",4,CEK,0.45921863913651223,212.9
"strain x0.25, pert x4",0.4575621121460537,0.4931536465576623,0.28190237193759576,0.17802466342090018,0.6203965839586406,0.8654844615382158,0.3791344783269858,0.3034635417656106,0.1998023968667007,0.6166055920814582,0.5473570664411197,0.981398992661567,0.9610265331287596,0.8502447567231776,0.816716873760753,"strain x0.25, pert x4",3,BAH,0.44250043241256326,207.8
"strain x0.25, pert x4",0.49746945902088513,0.48654666188562473,0.334417220203342,0.22243277588057864,0.6425179575423076,0.8889905409171588,0.4033027814299369,0.35353093951759945,0.2824040497048497,0.6325572591283928,0.5680586344528009,0.9863673477391917,0.9716704649368036,0.8701529231426117,0.8367819641334732,"strain x0.25, pert x4",1,CGD,0.46841630859886874,210.9
"strain x0.25, pert x4",0.46527927663907154,0.5065444323894215,0.30706939789003873,0.23984308847752528,0.6318234044329103,0.8797753668919448,0.39980729185734987,0.23195444952085786,0.26376852483064,0.6233419171361153,0.557871874248679,0.9847477460965107,0.9683765362602836,0.8606127241755193,0.8294916646905092,"strain x0.25, pert x4",5,CGD,0.4507247749305265,169.6
"strain x0.25, pert x4",0.46885525609819334,0.45589951565109954,0.2642432770480805,0.20722442563833157,0.6133919475872613,0.8648746686177842,0.35742295718091915,0.34308056920132474,0.236106196079388,0.6332931264875905,0.5471583474901011,0.9840156482898729,0.9664200819517693,0.8460753646370135,0.8293959531365798,"strain x0.25, pert x4",4,CEK,0.4591276800334127,182.8
"strain x0.5, pert x0.25",0.43503557772449547,0.5006740019230541,0.27185977669070494,0.19284393062927171,0.5881706014099349,0.851650722793178,0.36950723281690695,0.18204633986190444,0.23604430626990405,0.6089004298533972,0.5564090549986341,0.9827394237897061,0.9636444185190687,0.8293541742887912,0.8321401177243063,"strain x0.5, pert x0.25",0,CEK,0.42726344163981705,176.7
"strain x0.5, pert x0.25",0.43979123152605215,0.5150154878401728,0.2751090684230181,0.21729125175839703,0.5774959958449396,0.8419178646950725,0.3787934482346115,0.1964262662738562,0.24177699056990318,0.6144062630696894,0.5525603770532784,0.9790320169356065,0.956220757731943,0.8161333549091732,0.8286785928801476,"strain x0.5, pert x0.25",2,DHY210,0.4317148124424868,170.7
"strain x0.5, pert x0.25",0.48540387837705046,0.4688384697295381,0.339230297150623,0.22471389652984744,0.6175098597884696,0.8877772364877478,0.3962159714741816,0.30646544307241425,0.28352434746782973,0.6254466874734362,0.5650362271112613,0.9862996111676688,0.9715280896668538,0.8681900607506771,0.8340021740300169,"strain x0.5, pert x0.25",1,CGD,0.4704627043448113,180.7
"strain x0.5, pert x0.25",0.4600098901112637,0.4978508089048671,0.3109104982835663,0.24491223911202425,0.6068159554769081,0.8791796810483037,0.39688405649501857,0.21275353099221334,0.2640536261276699,0.6175285994573846,0.5567729681626631,0.9847804877249076,0.9684321012559742,0.8593150778635499,0.8273070601344807,"strain x0.5, pert x0.25",5,CGD,0.4506496896286601,183.6
"strain x0.5, pert x0.25",0.4586350264652278,0.4447428017463693,0.2686896379656292,0.20831941560602624,0.5923968781302079,0.861405199068496,0.3534185026732292,0.3111883523422567,0.22881488409267456,0.627735987570162,0.5445022987843757,0.9837536945933917,0.9658014759460353,0.8411036693384624,0.8262591718257924,"strain x0.5, pert x0.25",4,CEK,0.45250722656185294,186.1
