model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,config,seed,strain,secs
"ADOPTED booster, no instrument",0.4281829252425936,0.5077247505327958,0.2506932392153783,0.1764395312604182,0.600970953115121,0.8298497677877925,0.3618101870170013,0.19558311114183968,0.22661227212035426,0.6007635996028173,0.5448997663612863,0.9790546200268513,0.956272324794839,0.8035387568298273,0.8180789555598749,"ADOPTED booster, no instrument",0,CEK,1020.4
+ source + instrument lam=3,0.4573123055714075,0.5027389965830731,0.29644939227202943,0.2281944972844597,0.6214967238162707,0.8747090658087942,0.39183566514620627,0.22205911504080109,0.25360825567310546,0.6171674071359926,0.5512272253343298,0.9839368334648881,0.9666170498561265,0.8572046672772332,0.8234004165572782,+ source + instrument lam=3,5,CGD,782.2
+ source + instrument lam=3,0.439870710744958,0.5075910668195021,0.2714819683247052,0.1896878555182672,0.6012896322763177,0.854796455326161,0.37244509057690856,0.1944687046882944,0.2385618041285286,0.6127181785596276,0.558444548323424,0.9830311619682012,0.9642623182239861,0.8339717205755625,0.8350875420279568,+ source + instrument lam=3,0,CEK,811.7
+ source + instrument lam=3,0.4530453931898662,0.4858688001914506,0.2845279019700503,0.17586015825551943,0.6081640900132934,0.8638318591301439,0.37584813410541523,0.29410254375252864,0.19563293712451238,0.6120307059889263,0.5433364212636551,0.9813023871421916,0.9609381251140933,0.8494393130452568,0.8147279225106069,+ source + instrument lam=3,3,BAH,797.2
+ source + instrument lam=3,0.46552504344739754,0.44789340554044865,0.2676742280748361,0.20336430002366016,0.6049657532437229,0.8640920487935063,0.3544605845571125,0.33865936487861414,0.2307418111264627,0.6305352279373546,0.5431545910933447,0.9840197869557097,0.966321599918952,0.8455482933889572,0.8245868936647333,+ source + instrument lam=3,4,CEK,798.7
+ source + instrument lam=3,0.44115749079553596,0.5162825995173315,0.2758650008542987,0.21079793249170078,0.5910626441668594,0.8435315956935373,0.37972203628406415,0.19866041776437643,0.2425843112449281,0.6167983089140939,0.5518377178508437,0.9792953314553843,0.9565983366678078,0.8187933457822586,0.8275808305540698,+ source + instrument lam=3,2,DHY210,823.4
+ source + instrument lam=3,0.4882854112254179,0.47630116038623577,0.32138703546378805,0.2186851841601229,0.6325447999240179,0.8839572023536443,0.392956171615617,0.3395890918695134,0.2705421978390342,0.6322184672110884,0.5601364637593277,0.9855662837642126,0.9699549805792976,0.8662877672626051,0.8304624703902903,+ source + instrument lam=3,1,CGD,843.2
+ source + instrument + 240 comp,0.4533420473869052,0.48580363028453755,0.28508261721717354,0.17585834350611557,0.6079339340971152,0.8637819300266676,0.3760042700239602,0.2947547027424435,0.19635201229523377,0.611958314494194,0.5433483883725359,0.9812968648466709,0.9609266005875138,0.8493992895930266,0.8147441206594743,+ source + instrument + 240 comp,3,BAH,1113.8
+ source + instrument + 240 comp,0.4401124739052287,0.5075504515558962,0.27205588613451326,0.1897426062397611,0.6008661760168929,0.8547481404842021,0.37265718285635896,0.19492285951069413,0.23916221389545084,0.6125862174258809,0.5584582734096273,0.9830252787789399,0.964249532368419,0.8339393308085767,0.8350008598409775,+ source + instrument + 240 comp,0,CEK,1155.4
+ source + instrument + 240 comp,0.4655595682216112,0.44767148449888416,0.26812462077953364,0.20337745704719806,0.6043933957834662,0.8640389732638785,0.3545128312917958,0.3384873279628615,0.23118985528300295,0.6303187021771858,0.5431251775799029,0.984013580745895,0.9663078521137859,0.8454942631174774,0.8245773898888678,+ source + instrument + 240 comp,4,CEK,1147.4
+ source + instrument + 240 comp,0.44134541774929215,0.5161476038744084,0.27624680326633466,0.21078428940145708,0.5902520542666545,0.8434920883878465,0.3797791424135278,0.1992214488024316,0.24309770940613534,0.6165545677254944,0.5516585210815609,0.9792914034841942,0.9565900180336222,0.8187460653996822,0.8271761642025938,+ source + instrument + 240 comp,2,DHY210,1180.5
+ source + instrument + 240 comp,0.488552957014021,0.47623055202350245,0.32193275877006405,0.2185928902879339,0.6326379782784353,0.8838489000719455,0.393119098124837,0.3401049435350668,0.27131014203838255,0.6322460038798305,0.5599156993149932,0.985553901007914,0.9699287962677882,0.8661618381931685,0.8299267009228909,+ source + instrument + 240 comp,1,CGD,1190.2
+ source + instrument + 240 comp,0.4575324094328803,0.5025606501949764,0.2969983725947114,0.22811758398594087,0.6215659718748613,0.8745923752164414,0.3919755014250559,0.22233993574118635,0.25436115010528143,0.6171649440889411,0.5512669491028084,0.9839231083908854,0.9665878326376306,0.8570621212087823,0.8233918986614527,+ source + instrument + 240 comp,5,CGD,1411.0
