model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,config,seed,strain,TOTAL_additive_only,secs
"strain x0.25, pert x16",0.44176209503544184,0.5116935904366945,0.27231707970063845,0.21643482469472847,0.6021855025437377,0.8433677698692905,0.37792322107181736,0.20141991533918785,0.24326314411148622,0.6217766444854254,0.5498691890990387,0.9792021643644434,0.956547172813177,0.8178798106318981,0.8255121333039888,"strain x0.25, pert x16",2,DHY210,0.4290499281461727,193.2
"strain x0.25, pert x12",0.4628780280175614,0.5042074984696928,0.3031216550597584,0.2362187179823073,0.6320639926146413,0.8791813072633401,0.3968235146054301,0.22715639742009167,0.262119511885535,0.622382524307691,0.5548490724328278,0.9846208571646488,0.9681188457324539,0.8600985415758156,0.8268671876034835,"strain x0.25, pert x12",5,CGD,0.4479114254087194,207.1
"strain x0.25, pert x16",0.4590273289970877,0.49361591105905195,0.28100733086742363,0.17790857623850628,0.6203238831616014,0.8655261029815825,0.37899361928866077,0.31046022565197623,0.2004852742428121,0.6168841385340953,0.5459237949247773,0.981420749682596,0.9611071725321104,0.8498054568958159,0.8153594057065572,"strain x0.25, pert x16",3,BAH,0.4393977926028414,199.2
"strain x0.25, pert x16",0.47311991155431343,0.4620303828666431,0.26176334927749445,0.20351092573749513,0.6143006193226781,0.8653286170487842,0.3585058282655142,0.35974328581774867,0.2394091706930547,0.6326195856149786,0.5467056242903888,0.9840164252096857,0.9665112869721404,0.8467527705242979,0.8274976965732151,"strain x0.25, pert x16",4,CEK,0.4597250416056743,173.1
"strain x0.25, pert x16",0.4633739456547142,0.5044568920588033,0.30333384512509065,0.23730286566298472,0.6320598830552487,0.8793388502357353,0.3971530498079333,0.22846319779793806,0.26264253320451775,0.6226930200075503,0.5545492990867503,0.9846362989944014,0.9681552578300997,0.8601812821863472,0.8271684806773772,"strain x0.25, pert x16",5,CGD,0.4470948219130163,181.9
"strain x0.25, pert x24",0.4446891157285789,0.5121255107354603,0.2647609193506633,0.18874342802967312,0.6049412954585481,0.8546373455190843,0.37135285364423787,0.2155863480803434,0.24331351698527434,0.6130324400180429,0.5568043239754954,0.9829611540407189,0.9641840341405358,0.8337783044309233,0.8336708929941183,"strain x0.25, pert x24",0,CEK,0.4314136130728665,180.5
"strain x0.25, pert x24",0.46170194356422545,0.5011962515268062,0.3020714554908689,0.2340969556155737,0.631931926430702,0.8788577975305383,0.39489311268315763,0.22455101894150736,0.2622254739613081,0.6218117079313006,0.5534127302727048,0.9845544146632523,0.9679924207464426,0.8598383312058393,0.8253880994663938,"strain x0.25, pert x24",5,CGD,0.4458671939155639,173.9
"strain x0.25, pert x24",0.4595098115955365,0.49425262298831646,0.2802953354476871,0.17811920480264185,0.6200049791493011,0.8654445999938063,0.37902705826005134,0.31322258401344827,0.2001451905827793,0.617159347635862,0.5454927469786114,0.9814308025182816,0.9611155426847416,0.8494353855933953,0.8142280598876326,"strain x0.25, pert x24",3,BAH,0.438557239192316,179.7
"strain x0.25, pert x24",0.500724784090027,0.49472386064744456,0.3284636672049967,0.2201503003483447,0.6410287143146421,0.8887475695647333,0.40423767658851845,0.37179897090322006,0.2805567410981556,0.6309124468613011,0.5670692788709071,0.9862724939492861,0.9715073054129362,0.8701355900265683,0.835624420953279,"strain x0.25, pert x24",1,CGD,0.4621870008167969,187.8
"strain x0.25, pert x24",0.473995084415496,0.46389526117484664,0.26104856662694154,0.203874392314114,0.6137955647723603,0.8652426834579419,0.35899782579568845,0.3638277157040861,0.239131738984886,0.6327643116303039,0.5465753834832134,0.9840083804324147,0.9665017166599096,0.8465680438720513,0.8269238759905577,"strain x0.25, pert x24",4,CEK,0.4603383318987545,180.7
"strain x1, pert x4",0.44461348771071096,0.5119722730707366,0.26816174660923386,0.19162015178220915,0.6089442847041233,0.8552428970571253,0.3734013993951243,0.21187797505783051,0.2417022147662765,0.6152349488179805,0.559500512077707,0.9830256119039675,0.9643072322728072,0.8343018140912606,0.8360307577825545,"strain x1, pert x4",0,CEK,0.43096208384758833,185.7
"strain x0.25, pert x24",0.43935007293342143,0.5081987868125619,0.2712647187937542,0.21467468804639397,0.6018046935911351,0.8431617612036983,0.3759116973141252,0.19336733290045058,0.24268032469252546,0.621141602341994,0.5483220922271159,0.9791584482060286,0.9565008583080474,0.817513478242389,0.824055612570429,"strain x0.25, pert x24",2,DHY210,0.42757247471018744,202.9
"strain x1, pert x4",0.4431647224086412,0.5172403486610707,0.2734625726205637,0.21660154548010377,0.6010733344836569,0.8436818486363281,0.38044664297489283,0.20549237726249797,0.24228443555768733,0.6213680402341721,0.5524905070039624,0.9792608868338019,0.9566106960265985,0.818323974014769,0.8281655513511722,"strain x1, pert x4",2,DHY210,0.4325094507941413,178.2
"strain x1, pert x4",0.49704319139416936,0.48548275915729444,0.3347557999395471,0.2231536557999678,0.6427337556755834,0.8894390098491567,0.40308130847882523,0.3506379740510446,0.28271353612466926,0.633140274713136,0.5680146559635064,0.9864340599936144,0.9718044651228956,0.87066754288606,0.8367217675657642,"strain x1, pert x4",1,CGD,0.46811016588713966,190.2
"strain x1, pert x4",0.4574949567206661,0.4934015795664619,0.2818830084979082,0.1778500475992857,0.6204870693809076,0.8658517863254973,0.3792153693431107,0.30289511289773624,0.19958402653072727,0.6165859401426316,0.5473267043966625,0.9814335009335402,0.9610830100521128,0.850802553967728,0.8162540802266393,"strain x1, pert x4",3,BAH,0.44219279940466166,183.6
