model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,config,seed,strain,secs
"240 comp, seeds x3",0.42837012976021527,0.5075989203782104,0.2512391618786304,0.17658217708213214,0.6005752766827398,0.8297793109716964,0.3619908766419463,0.19579845183105293,0.22721364595006113,0.6006516562321024,0.5449792645191263,0.9790451852362689,0.9562532067285165,0.8034626310686892,0.818117656130227,"240 comp, seeds x3",0,CEK,1172.4
"240 comp, seeds x3",0.48674845723743326,0.47474317884264267,0.32082360044347047,0.21792166363919466,0.6325105617120276,0.8813584685461392,0.3919674506671906,0.33725433527475845,0.27018236121640515,0.6311227572411505,0.5577057167811995,0.9852493007018887,0.9692763359331963,0.862158392694744,0.8267919142361744,"240 comp, seeds x3",1,CGD,1170.8
"240 comp, seeds x3",0.42537201486411075,0.515649000170805,0.25228099048409536,0.18921679498652036,0.5900801021135493,0.8165319412032815,0.36655545255805533,0.19788950816098527,0.2203182734504336,0.5995697655477781,0.5365646121375801,0.9752451080961454,0.9479282508552532,0.7850931872393743,0.8077237300480794,"240 comp, seeds x3",2,DHY210,1139.4
"240 comp, seeds x3",0.45251777148005756,0.4850389241605406,0.28510982695046533,0.17604556993431136,0.6074740253067022,0.8611847234061872,0.37568082324851115,0.2937635649122106,0.1968648460726339,0.6108751404011903,0.5429484949920879,0.9810830844344559,0.9603042371444803,0.8453706189277681,0.8118662919932106,"240 comp, seeds x3",3,BAH,1170.9
"240 comp, seeds x3",0.45549436068682947,0.44657052735647423,0.2505861202857983,0.19194967865842183,0.6040853519353622,0.843422276373987,0.3455965928490745,0.3361107788133755,0.22244704919581265,0.6214723139918766,0.5310392039747626,0.9806364021338444,0.9595504289170314,0.8193159749164446,0.808084769416095,"240 comp, seeds x3",4,CEK,1391.5
"240 comp, seeds x3",0.45597499156955046,0.5014772169477062,0.2955070625278837,0.22879234152237327,0.6209046031532828,0.8719702387564691,0.39099091792151813,0.220681701821756,0.2530618869702613,0.6164112009975723,0.5488675295943266,0.9836249435976044,0.9659318847525579,0.8527395518828745,0.8198913456574826,"240 comp, seeds x3",5,CGD,1501.6
seeds x10,0.4863791232676445,0.4746181072886308,0.3203726194592293,0.21808221534528174,0.6325829883650232,0.8814807045122334,0.3917744306279011,0.33618414165196825,0.26950069195923637,0.6310360453163815,0.5579760690868693,0.9852659100224268,0.9693136985720301,0.862284498489255,0.8275389442161113,seeds x10,1,CGD,2698.3
seeds x10,0.4523717029785559,0.4854322582309157,0.2844731367807695,0.1760903802009633,0.60797726500321,0.8612424440913476,0.3756609243695629,0.2937512933551913,0.1960464194476279,0.6110664468913038,0.5428359163640278,0.9810908865368855,0.960319145315577,0.8454188244555153,0.8114926179019333,seeds x10,3,BAH,2791.4
seeds x10,0.4557088706212569,0.4470655590741962,0.25014146120014985,0.19197220145438126,0.6048965511603257,0.8435357098800242,0.3456780649329016,0.3371524407611497,0.22204559505598156,0.621806804468972,0.531238496034064,0.9806503326134642,0.9595799767104068,0.8194567568323137,0.8084882936952559,seeds x10,4,CEK,2939.4
seeds x10,0.42529029934850554,0.5159047702701528,0.25188921207351744,0.18933688861245104,0.5909498635703787,0.8166744913005299,0.3665566245065065,0.19770369792025486,0.21975889470493398,0.5999505658604978,0.5365733970137078,0.9752533821453419,0.9479611457119504,0.7852506049080382,0.8077241851491601,seeds x10,2,DHY210,3002.5
seeds x10,0.4281983934750518,0.5079352577823231,0.2506694895611524,0.1765153529273808,0.6011976255029204,0.829774614410549,0.3619034332329322,0.19582284563453495,0.22635779829760327,0.6008534502832835,0.5449227693990591,0.9790502838290649,0.9562558094167836,0.8034632658341199,0.8180147008105721,seeds x10,0,CEK,3118.1
seeds x10,0.45584147365577327,0.5017630803122886,0.2950172700518024,0.22888394099982515,0.6213008305813333,0.8721309636949419,0.39094986703857526,0.22054871834296821,0.252344213449316,0.6165392056666166,0.5489061446404524,0.9836427592750103,0.9659708091473749,0.8529573129461671,0.8200961180533641,seeds x10,5,CGD,2966.2
"lr .0075 / 3200, x3",0.42793423946042375,0.5074809912720077,0.25071077762349814,0.17648095305761916,0.6010724825257701,0.8297462863912648,0.3617386622586712,0.19459327933212303,0.22656846129697608,0.6007705539551065,0.5448182619234496,0.9790487598969861,0.9562387930180513,0.8034701941815748,0.8180726620606676,"lr .0075 / 3200, x3",0,CEK,1552.1
"lr .0075 / 3200, x3",0.4523897623262734,0.4854920491566888,0.28435246100934936,0.1760685672447067,0.6078538085008933,0.8612406239252967,0.3756330438896174,0.2940156883919345,0.19595275774017593,0.6110494393212773,0.5426948682051979,0.9810900244876357,0.9603146752430989,0.8453979968246991,0.8111859265342476,"lr .0075 / 3200, x3",3,BAH,1397.6
"lr .0075 / 3200, x3",0.42539284525610055,0.5161549144650918,0.25163692542261956,0.18946148813472208,0.5906969990857963,0.8166603846916606,0.36653966602561333,0.19842004955719741,0.2195795983281767,0.599957211792744,0.5366040211003172,0.9752474207683701,0.9479520943964405,0.7852518198612196,0.8078461897478381,"lr .0075 / 3200, x3",2,DHY210,1496.9
"lr .0075 / 3200, x3",0.4862320003839798,0.4745651073405447,0.32012067681179207,0.21814199774600193,0.6324655118237376,0.8814332300976755,0.39166009063405405,0.3359225181123042,0.26926798096075893,0.6310062808479694,0.5578320761304311,0.9852566126359944,0.9692984858544605,0.8622305938918028,0.8273007395379228,"lr .0075 / 3200, x3",1,CGD,1628.1
"lr .0075 / 3200, x3",0.4558007935779466,0.4471796388705046,0.250099800095181,0.1920413605443257,0.6048342356130219,0.843592278133368,0.34571315110783846,0.3374058168670082,0.22215835170596848,0.6218225433828362,0.5311792424286879,0.9806538612383616,0.9595925574571553,0.8195081264040016,0.8083450922604295,"lr .0075 / 3200, x3",4,CEK,1668.7
"lr .0075 / 3200, x3",0.4556686081271814,0.501438065193475,0.2950460433228642,0.22908719783277984,0.6211074319632098,0.872093358767415,0.39084406646028236,0.21988684798719665,0.2523302296876767,0.6165211927642975,0.5488676989444677,0.9836380457679277,0.9659589052916182,0.8529258636415589,0.8201273322179423,"lr .0075 / 3200, x3",5,CGD,1960.3
