model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,k,seed,strain,n_unseen_rows,secs,variant
k=2.5 (incl booster),0.42197989862166335,0.5140313598800532,0.28182872648284985,0.1930393426710675,0.5899982339889087,0.7929723314584317,0.37918469627408175,0.19299082907482135,0.21419202633222476,0.6005052684035518,0.5420432067938431,0.9727463206627359,0.9420563833162042,0.7557191718502861,0.8090770857240427,2.5,2,DHY210,3609,251.8,incl_booster
k=3.0 (incl booster),0.418573663110682,0.5140313598800532,0.2857002087888105,0.19395829305993867,0.5899982339889087,0.7787294722999466,0.3809715057697617,0.19299082907482135,0.20918484719503905,0.6005607470754553,0.5418736449346916,0.9712137813503429,0.9380215628294687,0.7407343278660924,0.8080893887712107,3.0,2,DHY210,3609,258.7,incl_booster
k=4.0 (incl booster),0.40913200758664836,0.5140313598800532,0.2885498794469342,0.19538779757399324,0.5899982339889087,0.7418638665372026,0.38237984730560537,0.19299082907482135,0.19765017662023227,0.6003601282744084,0.5400011697270973,0.9673620862404517,0.9268385978856283,0.7075357627872102,0.804921877719858,4.0,2,DHY210,3609,265.3,incl_booster
k=1.0,0.48421418407383776,0.47264868826219536,0.3191829003471922,0.21811457906306939,0.6303215299655568,0.8814291144412789,0.3903529493546448,0.3292263707797262,0.26805374513873054,0.6302704506897606,0.557141111885068,0.9852674616479559,0.9693179503365013,0.8622659661986924,0.8269371643324782,1.0,1,CGD,3578,192.2,pert_only
k=1.25,0.48541563579763625,0.47264868826219536,0.3285327266829449,0.21811457906306939,0.6303215299655568,0.8807312301148482,0.39379012360759763,0.3292263707797262,0.2700349436754186,0.6302704506897606,0.5588510182552421,0.9851955108030385,0.9691777294304734,0.8614839770103863,0.827675088209928,1.25,1,CGD,3578,199.4,pert_only
k=1.5,0.485877748854947,0.47264868826219536,0.3355816529962446,0.21811457906306939,0.6303215299655568,0.8793229174550548,0.39638144318562973,0.3292263707797262,0.27022320493980556,0.6302704506897606,0.5600168870929222,0.9850348234508112,0.9688330562591391,0.8598711940360526,0.8283010711700675,1.5,1,CGD,3578,206.3,pert_only
k=2.0,0.48489497925134245,0.47264868826219536,0.3444210858516313,0.21811457906306939,0.6303215299655568,0.8744541042447256,0.3996309870734195,0.3292263707797262,0.26592712919602335,0.6302704506897606,0.5607733313983292,0.9844623327364336,0.9675303529215067,0.8544545420212841,0.8280745448951614,2.0,1,CGD,3578,212.6,pert_only
k=2.5,0.48203430939598657,0.47264868826219536,0.34838262467734377,0.21811457906306939,0.6303215299655568,0.8669759169476179,0.4010873242036338,0.3292263707797262,0.25741266216702635,0.6302704506897606,0.5602488659445581,0.9835809192681192,0.965409840383887,0.8465980481583923,0.8268767901095577,2.5,1,CGD,3578,219.0,pert_only
k=3.0,0.47794677323971163,0.47264868826219536,0.3492421882236053,0.21811457906306939,0.6303215299655568,0.8570269395364727,0.4014033161358785,0.3292263707797262,0.24685247593712406,0.6302704506897606,0.5589548377220265,0.9824212578668288,0.9624715187980456,0.8368253722125439,0.8251682578878319,3.0,1,CGD,3578,225.7,pert_only
k=4.0,0.4676031928171329,0.47264868826219536,0.3458181203331826,0.21811457906306939,0.6303215299655568,0.830178808840581,0.40014456355901834,0.3292263707797262,0.2244679191585068,0.6302704506897606,0.5553077420527887,0.9793806774189145,0.9541414479737775,0.813266770512097,0.8210307707631579,4.0,1,CGD,3578,232.4,pert_only
k=1.25 (incl booster),0.48610014633377496,0.47264868826219536,0.33062894651284347,0.2176545572410744,0.6303215297646861,0.879837027485081,0.39449659374735485,0.3292263707797262,0.27354524394835567,0.6300248015562744,0.5590357859735235,0.9851161702253246,0.9689424253314937,0.8604155950035054,0.8277633024303109,1.25,1,CGD,3578,239.3,incl_booster
k=1.5 (incl booster),0.4868568441815613,0.47264868826219536,0.3389531277948103,0.2171218932614678,0.6303215297646861,0.8770981977695816,0.39748245276471184,0.3292263707797262,0.276210079028288,0.6297147695159155,0.560156490465451,0.9848307155409121,0.9682268123013058,0.857285900504824,0.8282928092702693,1.5,1,CGD,3578,246.5,incl_booster
k=2.0 (incl booster),0.4857178280730866,0.47264868826219536,0.3489595782972118,0.2158509612225502,0.6303215297646861,0.8683475638562661,0.40098381032988273,0.3292263707797262,0.27524991754967804,0.6289055174383159,0.5603310661930053,0.9838889787383897,0.9657753220551464,0.8478258976885257,0.8271021385924777,2.0,1,CGD,3578,253.3,incl_booster
k=2.5 (incl booster),0.4821483424473101,0.47264868826219536,0.35319700899199863,0.21432699529533847,0.6303215297646861,0.8554882042900247,0.40232908617411506,0.3292263707797262,0.2693608542794077,0.6278527181643722,0.5593142643502471,0.9825036958095192,0.9619634795357116,0.8350684776037324,0.8255192460702705,2.5,1,CGD,3578,260.6,incl_booster
k=3.0 (incl booster),0.47698368253298257,0.47264868826219536,0.3540101717786913,0.21257545242596837,0.6303215297646861,0.8387819119258557,0.402383805183246,0.3292263707797262,0.2612475016100747,0.626567446419076,0.557596594642641,0.9807311110907451,0.956791284705561,0.8200045694750375,0.8235459558466076,3.0,1,CGD,3578,267.9,incl_booster
k=4.0 (incl booster),0.46355661388994146,0.47264868826219536,0.35043010052858403,0.20848855879008674,0.6303215297646861,0.7946213518240386,0.4004978730586417,0.3292263707797262,0.24343116468800474,0.6233431455600972,0.5528410722183473,0.9762159826655646,0.9423658383405007,0.7859366288095251,0.8179232466606478,4.0,1,CGD,3578,274.1,incl_booster
k=1.0,0.45454681329885904,0.5002811772812453,0.2943070108164837,0.22903037536581808,0.6190008071595539,0.8721236220088504,0.38993899759017336,0.216713314324913,0.2513267231657334,0.615930941198575,0.5487247576311766,0.9836484294511165,0.9659819765373976,0.8528708711080912,0.8204685112688818,1.0,5,CGD,3578,192.7,pert_only
k=1.25,0.4555542927389152,0.5002811772812453,0.3020074305040031,0.22903037536581808,0.6190008071595539,0.8714632518958574,0.39299769019115216,0.216713314324913,0.25284262116251816,0.615930941198575,0.5501587718922377,0.9835865303599497,0.9658562405782541,0.8521353378252068,0.8210573671083663,1.25,5,CGD,3578,200.1,pert_only
k=1.5,0.4558980380558755,0.5002811772812453,0.30774081704312023,0.22903037536581808,0.6190008071595539,0.8701587535701967,0.3952750552825864,0.216713314324913,0.2528241340925576,0.615930941198575,0.5509387943567569,0.9834424286071639,0.9655376827561993,0.8506455768192638,0.8211424802394561,1.5,5,CGD,3578,206.5,pert_only
k=2.0,0.45491408750062223,0.5002811772812453,0.31476842192992305,0.22903037536581808,0.6190008071595539,0.8656863370035287,0.3980664983392168,0.216713314324913,0.24881655975593558,0.615930941198575,0.5512225315817009,0.982923712983259,0.9643221014750575,0.8456631343707603,0.8205322631759953,2.0,5,CGD,3578,212.9,pert_only
k=2.5,0.4522801007534525,0.5002811772812453,0.3177150316069709,0.22903037536581808,0.6190008071595539,0.8588407650823879,0.3992369245734864,0.216713314324913,0.2412614876786637,0.615930941198575,0.5502932414606082,0.9821248539783347,0.9623352326352318,0.8384285444369277,0.8189468130572709,2.5,5,CGD,3578,219.4,pert_only
k=3.0,0.4485639793389787,0.5002811772812453,0.3180645628137308,0.22903037536581808,0.6190008071595539,0.8497448637223404,0.39937576226796434,0.216713314324913,0.23199635001876948,0.615930941198575,0.54872078077851,0.981077424566706,0.9595770762389149,0.8294015380173867,0.817121936291736,3.0,5,CGD,3578,227.4,pert_only
k=4.0,0.43914289559135267,0.5002811772812453,0.31437281261878286,0.22903037536581808,0.6190008071595539,0.825216498637351,0.3979093579076603,0.216713314324913,0.21230955664525084,0.615930941198575,0.5444917614615419,0.9783495499440295,0.9517469008231451,0.8075152820905473,0.8123541020505514,4.0,5,CGD,3578,234.8,pert_only
k=1.25 (incl booster),0.456288335003902,0.5002811772812453,0.3043686915690686,0.22837022458625048,0.6190008076127544,0.8706421441225516,0.39384776469075644,0.216713314324913,0.2563236043583241,0.6157048581010731,0.5504019091989555,0.9835113758150956,0.9656316615675321,0.851150163315915,0.8211274663116703,1.25,5,CGD,3578,242.7,incl_booster
k=1.5 (incl booster),0.4569966467760321,0.5002811772812453,0.3116943091857165,0.22764994689442591,0.6190008076127544,0.8680995757797165,0.3966617360113655,0.216713314324913,0.2588080838243655,0.61545423521369,0.5512318893204525,0.9832475630037534,0.9649530808081017,0.8482433883675528,0.8212615633325686,1.5,5,CGD,3578,250.7,incl_booster
k=2.0 (incl booster),0.4560457205746874,0.5002811772812453,0.3206077791694427,0.226035307152586,0.6190008076127544,0.8599823254142871,0.3999874092782979,0.216713314324913,0.25831005297770704,0.61488196783219,0.5511906585702488,0.9823739129687066,0.962611121542517,0.8394420172127722,0.8202297908787033,2.0,5,CGD,3578,258.8,incl_booster
k=2.5 (incl booster),0.45290584493715597,0.5002811772812453,0.3245508682999898,0.22420025943704214,0.6190008076127544,0.8480536422916061,0.40130946263533535,0.216713314324913,0.25359629150418533,0.6142197069375095,0.5496771792086054,0.9810926629021759,0.9589560987745605,0.8275286592242089,0.8177413463000697,2.5,5,CGD,3578,266.7,incl_booster
k=3.0 (incl booster),0.44831608661305533,0.5002811772812453,0.32549307410165546,0.22216012587233075,0.6190008076127544,0.8325521892563199,0.4014122413499357,0.216713314324913,0.24694103347229565,0.6134734571932093,0.5474874629108948,0.979461482073172,0.9539880124552534,0.8134002975704914,0.8149826340654355,3.0,5,CGD,3578,275.2,incl_booster
k=4.0 (incl booster),0.4362491276048867,0.5002811772812453,0.3225952833404548,0.21753115080474011,0.6190008076127544,0.7915608025685719,0.3996452393334049,0.216713314324913,0.23193277478591742,0.6117542776866713,0.5424202333397576,0.9753369422225571,0.9401126493823478,0.7812302613165631,0.8092664881056874,4.0,5,CGD,3578,281.7,incl_booster
k=1.0,0.4513661375735862,0.4847406568205463,0.28382446078327944,0.17584870578147618,0.6065638214515324,0.8612316294773134,0.3750067271683775,0.29077708628155435,0.19509233313729862,0.6105588234230153,0.5427672731991406,0.9810896389859545,0.9603181915225375,0.8454039877223875,0.8117626139181932,1.0,3,BAH,3617,202.8,pert_only
k=1.25,0.4520637973867878,0.4847406568205463,0.29140728745900785,0.17584870578147618,0.6065638214515324,0.8606420416560828,0.3777228778822129,0.29077708628155435,0.19535606347233014,0.6105588234230153,0.5444431458387913,0.9810462469827206,0.9602603281797576,0.8446709770485178,0.8126066532305799,1.25,3,BAH,3617,209.2,pert_only
k=1.5,0.4522811096630291,0.4847406568205463,0.2976544424282472,0.17584870578147618,0.6065638214515324,0.8594229258353318,0.3799605941264008,0.29077708628155435,0.19457229086755587,0.6105588234230153,0.545612363844779,0.9809272662315857,0.9600364067722069,0.8431463388391202,0.8129231615756332,1.5,3,BAH,3617,215.9,pert_only
k=2.0,0.45152088354762643,0.4847406568205463,0.3069637734153543,0.17584870578147618,0.6065638214515324,0.8551616830266723,0.3832951746314381,0.29077708628155435,0.19043791636616794,0.6105588234230153,0.547317408251729,0.9804747658146932,0.9590903895203127,0.8379722445598963,0.8137649376319458,2.0,3,BAH,3617,222.8,pert_only
k=2.5,0.4495242017494752,0.4847406568205463,0.31307381064789885,0.17584870578147618,0.6065638214515324,0.8485813011139127,0.38548377562423897,0.29077708628155435,0.18415820528945812,0.6105588234230153,0.5478811392825788,0.9797570964656352,0.9574801397901703,0.8303903463913179,0.8132439483054457,2.5,3,BAH,3617,230.3,pert_only
k=3.0,0.4466672980336643,0.4847406568205463,0.31687241670656985,0.17584870578147618,0.6065638214515324,0.8398093455832225,0.386844427396864,0.29077708628155435,0.17695034596736345,0.6105588234230153,0.5478590655143737,0.9787991861543609,0.9552056576415999,0.8208859779336781,0.8124333898964645,3.0,3,BAH,3617,237.5,pert_only
