model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,config,seed,strain,tag,TOTAL_additive_only,secs
S_strain_x0.25,0.457210808499043,0.4927823941191317,0.2816937098202341,0.1781945557150384,0.6196656367734988,0.8656612088699438,0.3788787658926878,0.30237349478911,0.1994272986598459,0.6164759834956492,0.5470223642505242,0.9814074338664428,0.9610377808584244,0.8505772645547712,0.8163246594743248,S_strain_x0.25,3,BAH,cheap,0.4421914151888118,139.1
S_strain_x0.25,0.4364596575962594,0.5206363340482073,0.2638293585875023,0.225576215259658,0.6310139891643042,0.8541248391434657,0.374392226166757,0.2146434903313958,0.1946743707313067,0.6283872481100133,0.5466867240467019,0.9801676215923006,0.958649334302458,0.8394985261051071,0.8175347235179534,S_strain_x0.25,7,BAH,cheap,0.4291792433146514,145.1
S_strain_x4,0.4977534626092926,0.4865483856642141,0.3350666902260293,0.2232341907246009,0.6426757236881693,0.8895681791888415,0.4036636400025326,0.3528018020425753,0.2828064705076613,0.634017151089652,0.5680109430375709,0.9864427323515322,0.9718292145698896,0.8708590245005401,0.8362039362389029,S_strain_x4,1,CGD,cheap,0.4681849005637937,151.0
S_strain_x4,0.4668502191951533,0.4962774238607208,0.3051937510735076,0.2404852950426031,0.6169678689120937,0.8787091356679998,0.3938328602176792,0.2411810143224936,0.2638326656144866,0.6393458802016487,0.5542570599914503,0.984417850955883,0.9672844990374116,0.8591350880635932,0.826341649814981,S_strain_x4,6,CGD,cheap,0.4534580969861909,138.3
S_strain_x4,0.4645890547528638,0.5050508677843499,0.3076927011654938,0.2403551508948481,0.6322127148636575,0.880253992231621,0.3995414789288106,0.2277318565125672,0.2642285576374344,0.6236670869366032,0.5578819010135253,0.9848204177829788,0.9685186274468358,0.8610921936365228,0.8295301316003147,S_strain_x4,5,CGD,cheap,0.4503865418565406,149.1
S_strain_x0.25,0.4614852991955733,0.4886302116489562,0.2894471101290427,0.1636050341451653,0.6417119319712669,0.8643470283620128,0.3773043567438697,0.3155805841759307,0.2115328736679173,0.6162344743842619,0.5448733066001501,0.9810367088890763,0.9599797846445368,0.8498256850430511,0.8157669424779274,S_strain_x0.25,8,BAH,cheap,0.4441562106175155,179.1
S_strain_x_medium_x0.25,0.4571647500116337,0.4926346255040497,0.2821229651106009,0.1786722858688041,0.6201552372393649,0.8656622766629783,0.3790677205613171,0.3014349720197662,0.199664190631736,0.6167442775372666,0.5474220850936333,0.9814179450623172,0.961047852447098,0.8504813090171253,0.8167748500915112,S_strain_x_medium_x0.25,3,BAH,cheap,0.442410034287525,134.9
S_strain_x4,0.4571210017157001,0.4923775791516748,0.2821071482154411,0.1787888935413526,0.6199464325316077,0.8658542269048857,0.3789546167243851,0.3010918505220579,0.1996944857075206,0.6169330435651974,0.5472186110238245,0.9814453201029048,0.9611180873769518,0.8505876223000184,0.8164112930947921,S_strain_x4,3,BAH,cheap,0.4421918511834392,177.8
S_strain_x4,0.4360896179431539,0.5202993022946898,0.2636930407337473,0.2254302810882402,0.6313558510982082,0.8540555264417744,0.3742185729251366,0.2132330209560125,0.1945192010374886,0.6283921173007945,0.5466842658947052,0.9801610000019478,0.958616161725575,0.8393485932380597,0.817806251187366,S_strain_x4,7,BAH,cheap,0.4291887735734718,180.9
S_strain_x4,0.4614868097149479,0.4886478751059749,0.2896987670094703,0.1637267042025224,0.6415904271135815,0.8644066111457576,0.3774165110689872,0.3153485911091473,0.2115216662537619,0.6163103104999148,0.5449255439195239,0.9810425399854537,0.959995984103592,0.8498511617182813,0.8155743096301123,S_strain_x4,8,BAH,cheap,0.4441571527628202,193.7
