model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,config,seed,strain,secs
scale 0.925,0.4543801380465185,0.5008417819650204,0.293411601677917,0.22919519499732255,0.6187308778253005,0.8723144836752185,0.38981564871569435,0.21712419895716406,0.2500667116891668,0.6158914026013167,0.5487201348630678,0.9836637687055886,0.9660294727996281,0.8531059899803135,0.8204931392733386,scale 0.925,5,CGD,199.5
scale 0.925,0.4550035039249147,0.4462674919301728,0.24948081430833058,0.19173359619820454,0.6036395997512999,0.8439274236037135,0.34497860526487667,0.33436116442915903,0.22208386947162573,0.6213691167045031,0.5309489887469102,0.9806738728981431,0.959670140161273,0.8198505278749003,0.8081893477801044,scale 0.925,4,CEK,208.0
scale 1.075,0.4236531033877832,0.5131552979377304,0.25106444981626413,0.18967709627382093,0.5891748409417057,0.816274714870905,0.36508776263481435,0.19298738886346503,0.2189733425496939,0.5994960165057426,0.5356894364338516,0.9752205239881365,0.9478837241139899,0.7845797601521847,0.8069719579856552,scale 1.075,2,DHY210,199.2
scale 1.075,0.45136481706927745,0.48413405922614444,0.28424157583439397,0.17562076408621533,0.6065216979828676,0.8610521375519393,0.3748563617586954,0.2904220095967041,0.1958925627515573,0.610454459846923,0.542638773297423,0.9810665745865694,0.9602640183191925,0.845182868997599,0.8116414930007163,scale 1.075,3,BAH,208.4
scale 1.075,0.4543620516625124,0.44547587686695284,0.2500202530899626,0.1914786001053381,0.6026287425605643,0.8434026094103504,0.3447700761159085,0.331915015743819,0.22239909739146133,0.6208978290933342,0.5307281043015143,0.9806396329245606,0.9595510888327665,0.8192385344127163,0.8082510470874703,scale 1.075,4,CEK,203.9
scale 1.075,0.4844397405362115,0.4725932814075983,0.31993632462003196,0.21789790712450452,0.6304075611109909,0.8812057523252568,0.39058102025138075,0.32909968165377385,0.26927140173468606,0.6301900636894316,0.5572022392335967,0.9852496096381773,0.9692611835876803,0.8620105861035114,0.8270784409244155,scale 1.075,1,CGD,224.2
scale 1.15,0.4512694447355122,0.48334025948157633,0.2846447921794075,0.17538107643319628,0.6062791041968645,0.8608448993878861,0.3746057113671953,0.2898523951620163,0.19667291301112583,0.610276192080325,0.5423271234695054,0.9810405303458347,0.9602032145833105,0.844932601680475,0.8112088290456801,scale 1.15,3,BAH,212.9
scale 1.15,0.4845477068533992,0.4723436385292988,0.32063648950031315,0.21775499571104306,0.6302922859042711,0.8809456828036584,0.3907036162418866,0.3286656917013614,0.27042166465340034,0.6300822413075486,0.5571394166097745,0.9852280599725926,0.9691953192147377,0.8617086894665177,0.8270376472081662,scale 1.15,1,CGD,219.9
scale 1.15,0.42349875686103805,0.5120451379607571,0.2513731297720156,0.18988361031258955,0.588177484509546,0.8160642259653832,0.36476134065089694,0.19268690586348408,0.21934059940067382,0.5992416720532563,0.5353181649415988,0.9752020536068753,0.9478286259942663,0.7842708962131928,0.8064326913186463,scale 1.15,2,DHY210,219.0
scale 1.075,0.4545827925191208,0.4995105596221674,0.29513741100665286,0.2288135144159113,0.6189820394781933,0.871894080604944,0.38992593592033736,0.216020256075105,0.252515659022024,0.6158725615105602,0.5485610649513164,0.9836288859553547,0.9659240133553085,0.8525955515168386,0.820193088636319,scale 1.075,5,CGD,233.2
