model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,config,seed,strain,TOTAL_additive_only,secs
"plate 4, pxs 6",0.43950153682215,0.5044213591943639,0.2710311026277557,0.19228315032136362,0.6011756985201204,0.852996715782017,0.37137270394115723,0.19492916921474662,0.23974129938092423,0.6121728736161289,0.558152731994204,0.9827947457200321,0.9638464124954675,0.8308238157905524,0.8336922757747689,"plate 4, pxs 6",0,CEK,0.42778796583725004,182.2
"plate 2, pxs 48",0.4420002003295729,0.5148904785911556,0.27528527838910527,0.21554267524807905,0.5899372174355223,0.8434228499773738,0.37945817685597316,0.20310020873722703,0.2419726041040121,0.6178090901093041,0.5531122908185331,0.9792193804906415,0.9565154193075938,0.8183574036617106,0.8294800126647178,"plate 2, pxs 48",2,DHY210,0.4291165505709883,186.2
"plate 2, pxs 48",0.46249005091357365,0.49956743666479697,0.30935908066852014,0.2394777678791684,0.6215292825771804,0.8794574746972488,0.3971794745306509,0.2247520988039386,0.2624546156287954,0.620268453164076,0.5567099827701337,0.9847909893095245,0.9684551340529478,0.8598605147737879,0.8271045857052034,"plate 2, pxs 48",5,CGD,0.4488872193035262,184.7
"plate 4, pxs 6",0.49083865488060174,0.4750642715809602,0.3433017220775398,0.22133971840929254,0.6350978938762862,0.8885347332318859,0.40100382694691106,0.3213081023304263,0.28704012966658937,0.6278290000224919,0.5685641019168888,0.9864110862542058,0.9717641057954857,0.8686014309368486,0.8371289398984803,"plate 4, pxs 6",1,CGD,0.467470135417583,186.6
"plate 4, pxs 6",0.44305395145240783,0.5186324684154049,0.2745781729181604,0.2207402925497472,0.5925901457458421,0.842191627384898,0.3813828112033715,0.20663616804289994,0.2414945697357054,0.6194402183504221,0.5539950756764426,0.9790586595703183,0.9562225125699796,0.8161723352757568,0.8301541571797633,"plate 4, pxs 6",2,DHY210,0.4325693998063096,182.9
"plate 2, pxs 48",0.4611413425520095,0.45018734704614516,0.26683905374165207,0.20544597543595247,0.6039409457543238,0.8632255442432348,0.35527349059068564,0.31556194958527,0.23119763047415207,0.6301859555768755,0.5461469897223825,0.9838902312769237,0.9661275483381632,0.8438592837259709,0.8278198120177597,"plate 2, pxs 48",4,CEK,0.4509102316516513,195.5
"plate 4, pxs 6",0.4536877143771623,0.4884588675965848,0.2866173471047064,0.1786735677502998,0.611190081852139,0.8638102928630299,0.37831793240344047,0.28385120355046795,0.20411029787957322,0.6130638605787712,0.548949727196215,0.9811520331897161,0.9605451408831597,0.8477182202720316,0.8183064189726392,"plate 4, pxs 6",3,BAH,0.44046048435436724,211.9
"plate 4, pxs 6",0.4616212900063355,0.448914133560559,0.26707246276525176,0.2081049651855137,0.6059146590502509,0.8623185571713303,0.35532792856431844,0.3186649461317727,0.23083620447412584,0.6309555127522044,0.5465963006917932,0.9837841648618052,0.9659305538717192,0.8421244277721828,0.8286306978088753,"plate 4, pxs 6",4,CEK,0.45296237207824525,176.0
"plate 4, pxs 12",0.48907666820009366,0.4744121818131085,0.3418160463773527,0.2214567667164534,0.6346998582936275,0.8883445474170908,0.40016802014301445,0.31578503226207705,0.2851769890523896,0.6277011540328848,0.5680646802948018,0.9864047266310269,0.9717461853053765,0.8682145627990255,0.837280744852852,"plate 4, pxs 12",1,CGD,0.4651487220340003,175.0
"plate 4, pxs 12",0.43942740959367327,0.5035519005637006,0.2709331372421375,0.1922220814018924,0.6009101898990814,0.8530814041925782,0.3709791428736451,0.19553692051446284,0.23909802378032394,0.612191632090928,0.5584038193739237,0.9828012200044869,0.9638730299090605,0.8307737405292179,0.8344685672843872,"plate 4, pxs 12",0,CEK,0.42688240827992946,179.0
"plate 4, pxs 6",0.4638535602044389,0.5006245965147269,0.31400694145875074,0.24838875603329544,0.6224384249286254,0.8799528368490264,0.40069855656835934,0.22113593404593945,0.26612661032099416,0.6227173168308765,0.5592822627213873,0.9849290766129148,0.9687409947192901,0.8592468715396635,0.8287618760599708,"plate 4, pxs 6",5,CGD,0.45086766008322465,184.1
"plate 4, pxs 12",0.4531925409853778,0.4894606003604745,0.28620525369457933,0.17752987262534406,0.6098783668949928,0.8636662620239295,0.3783595113009613,0.2822226213517681,0.20379620167856952,0.6121286024710542,0.5490557180435722,0.9811412058134908,0.9605083563498608,0.8475300679870827,0.8183762680899113,"plate 4, pxs 12",3,BAH,0.43911074165536973,177.4
"plate 4, pxs 12",0.4429401296047576,0.5176735940250661,0.27422882329951814,0.219497005468082,0.5918216676869683,0.842398575965698,0.3806652240037278,0.2075073713529434,0.24115216786433516,0.6188870441023048,0.5534699231399959,0.9790662423746096,0.9562508889353413,0.8166990301730123,0.8300446969553888,"plate 4, pxs 12",2,DHY210,0.43172795164864763,181.5
"plate 4, pxs 12",0.46089178487871213,0.4498761696368489,0.2668769273664698,0.20620478532886885,0.6057921613201847,0.8620052519739552,0.3553826404437784,0.3159332586061713,0.2305349945050844,0.6300178065851598,0.5469928618441876,0.9837540615526362,0.9658495418403549,0.8419236917243417,0.8292610846153451,"plate 4, pxs 12",4,CEK,0.4517793819131748,181.0
"plate 4, pxs 24",0.4883369489245941,0.4743355578892572,0.34155780021255794,0.22087560624582334,0.6341527020219929,0.88806850141416,0.39992560154705764,0.31393365110329485,0.28429884058310967,0.6270047419187257,0.567897514516883,0.9863804849451442,0.9716879598177821,0.8679015554389217,0.8371405198574208,"plate 4, pxs 24",1,CGD,0.46299788834728395,181.6
