model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,seed,strain,sched
t48p2,0.4363977331858522,0.5221201602547727,0.2621351592489489,0.22589483795550708,0.631145900066803,0.8542960418932153,0.3741577166043642,0.2162311664339015,0.19273221723554224,0.6284507888740497,0.5472268006964865,0.9802008964839788,0.9586901022112085,0.8396107046510207,0.8185596308431319,7,BAH,t48p2
t96p1,0.43665247550713276,0.5223238804099891,0.26243472826045583,0.2258699716166367,0.6316499512067204,0.8543228729052751,0.37440154825493643,0.21682917505697233,0.19300419577491193,0.6285802823795233,0.5472562291602886,0.9802026648829757,0.9586960016937993,0.8396508345581666,0.8184206664356557,7,BAH,t96p1
t48p1,0.4367091361535408,0.5231238030316154,0.26159760968742307,0.22629354298752102,0.6311259848683862,0.854429190719991,0.3742977777840846,0.2181653031731748,0.19195737981438307,0.6285558589340646,0.547374621452068,0.9802220712017155,0.9587325246300247,0.8397323160275862,0.8186171027917115,7,BAH,t48p1
lin,0.43653248209571416,0.5217911247098284,0.26279079161356633,0.2256541912147672,0.6316809793243887,0.8542481769860053,0.37436135810913707,0.21594391067070326,0.1934724523482525,0.6285241455032051,0.5471364003423418,0.9801902092373312,0.958672311304243,0.839581590688393,0.8182949361881221,7,BAH,lin
none,0.46521399893916454,0.5059639710011643,0.30769672459518277,0.24040105286840327,0.6317979148914914,0.8802543687795124,0.39989344179771674,0.2305926560494694,0.2640297738453029,0.6235451617647663,0.5582152515680345,0.984818979984673,0.9685246079589583,0.8610863713120018,0.8302810129006988,5,CGD,none
t96p2,0.465213580906199,0.5065436883657065,0.3070157874547175,0.2407539051555446,0.632282693649389,0.8804563522350967,0.39993617284576194,0.23105362174684033,0.26316096313801296,0.6237629482962749,0.5583811088228211,0.9848462879685833,0.9685816549617443,0.8613160669906985,0.830317022927434,5,CGD,t96p2
t64p2,0.46501826205114416,0.5067076322429387,0.30639109479119014,0.2409969278420517,0.6320910343699963,0.8805459719542118,0.3997747163987314,0.23094972780101775,0.26239658897575585,0.623763258128322,0.5583959878486403,0.9848584776121122,0.968608065177261,0.8614088560445122,0.8303286932551405,5,CGD,t64p2
t48p2,0.4647495698834801,0.5067566064719751,0.30575653155916954,0.24120369320936788,0.6316605668557174,0.880600809241379,0.399542616808079,0.2306648387790399,0.2616267393843593,0.6236863716875247,0.5583360206350437,0.9848659500972943,0.9686250113085295,0.8614591208018191,0.8303124077270791,5,CGD,t48p2
t96p1,0.46508166985713584,0.5071760060041479,0.30605413281402677,0.24110196033305553,0.632086217267248,0.8806178423766127,0.3998446892620764,0.23158222185174707,0.2618949631912349,0.6237816713650371,0.5584664984238807,0.9848680516745785,0.9686285858264069,0.8614862391824529,0.8304203029276761,5,CGD,t96p1
t48p1,0.46468187061140753,0.507489523358371,0.3048237079571086,0.24148637248877883,0.6313053514670134,0.8807325991916213,0.39948460788103257,0.23154635854309172,0.2603501935534266,0.623640803396518,0.5584161608773943,0.9848835847491392,0.9686635162594381,0.8615928821114504,0.8304784954345302,5,CGD,t48p1
lin,0.46517696293736355,0.5068782752999178,0.3065839009453198,0.24091196746371712,0.6322414599973275,0.8805367772381235,0.3999188615559976,0.2313615107316645,0.2625838832460544,0.6237851230259291,0.5584460200520551,0.9848571452788822,0.9686049575251687,0.8614019584818167,0.8303952431858701,5,CGD,lin
none,0.457463229601418,0.49334434637215757,0.28187330136012206,0.17780587111685953,0.6205114612156158,0.8658474556452297,0.37918201329567996,0.3027943242414478,0.19957034727263728,0.6165735139583759,0.5473589889959481,0.9814321077952876,0.9610802184718804,0.8508075389535324,0.8164262402085377,3,BAH,none
t96p2,0.4574458437904675,0.49397224454891003,0.2812842978444258,0.17809283930626874,0.620880504775575,0.8659965355443797,0.3793085087027021,0.3029232095917905,0.19885794953189773,0.616796435827007,0.5476706819695526,0.9814561211806135,0.9611257480660576,0.8509608295757345,0.8170306853236914,3,BAH,t96p2
t64p2,0.457213662961076,0.49409452928850556,0.280819697579533,0.1783022630728105,0.6206349134235309,0.8660525177643589,0.3792110214905721,0.30236082712209517,0.19830302556958218,0.6168040152980117,0.5477446393484912,0.9814674341219982,0.9611468422175599,0.8510034077860126,0.8172206080978617,3,BAH,t64p2
t48p2,0.4569060263581459,0.4940663496559081,0.28038310623336304,0.1784921814516182,0.6201855022881704,0.866080865884577,0.3790429067239045,0.3015510046411582,0.1977820138152778,0.6167409795414456,0.5477684970964519,0.9814752321947044,0.9611610623201865,0.8510131231993864,0.817436441251576,3,BAH,t48p2
t96p1,0.4572820606272903,0.49438058024635234,0.2806846335809369,0.17839923911760722,0.6206462359667712,0.8661219182386091,0.3793019515807288,0.30274672626820825,0.19803875145857455,0.616827779612624,0.5478463115553451,0.9814794164357166,0.9611695483054036,0.8510877027098325,0.8173791125940253,3,BAH,t96p1
