model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,seed,strain,variant
tau_prot,0.4739129495022865,0.49965351914944856,0.3217166310520843,0.2441184101622348,0.6201814528484507,0.8814968868385478,0.40256904503773566,0.24939470612058576,0.27492802948398815,0.6420480814719078,0.5580391121407482,0.985046847605647,0.9683987303570666,0.8613423804207433,0.828295726981247,6,CGD,tau_prot
asym_up,0.4734751219588148,0.4994990981643492,0.3206129589060757,0.24412323655475301,0.6198367196622196,0.8817286580475739,0.4020373091379671,0.24893280587216657,0.2736696792718483,0.6419714025821945,0.5580485155557162,0.9850664374981337,0.9684454960313648,0.8617338165162646,0.828201984304946,6,CGD,asym_up
asym_down,0.47352453997273325,0.49960133493644837,0.31878074100069337,0.244088797764253,0.620425263813164,0.882085437261953,0.4013679001238618,0.24939603136968821,0.27399641473234376,0.6422668197640667,0.5572061258512827,0.985084969357429,0.9685655258041318,0.8621375424775491,0.8279268945866348,6,CGD,asym_down
seen_only,0.4727721246567452,0.49933132110042583,0.3170063157177636,0.24397266826133818,0.6195567164833067,0.88210722797525,0.40046830755565394,0.24838548381960776,0.2726909993841497,0.6418969385287673,0.5565722335830691,0.985095895542593,0.9685757008524081,0.8621986490119485,0.8278089067644947,6,CGD,seen_only
unseen_only,0.47424524268414103,0.4997811975532655,0.3223956143266347,0.2442393211335083,0.6211610291643229,0.8817026912416516,0.4029743280333094,0.24993990671645605,0.2749450295858142,0.642454949355055,0.5587728046304754,0.9850543063024232,0.9684353209830887,0.8616572106219104,0.828319972127086,6,CGD,unseen_only
base,0.46139843772806566,0.4968370223496724,0.28499789734955244,0.17749580887164185,0.6233955180721392,0.8666105713930918,0.38195017595170244,0.314279628216718,0.2028856449985703,0.6175764825084625,0.5479615313523539,0.9814823490774602,0.9611747881539886,0.8517732813881972,0.8167770069844755,3,BAH,base
adopted,0.46186443859053017,0.4961795807569345,0.28957765646980577,0.17761086129409231,0.6221470808098271,0.8662946245848483,0.38324578822387206,0.31297091581644393,0.20523733199690397,0.6172390257996206,0.5485702894992158,0.981406480697425,0.9610424897345657,0.8515426443143468,0.8172964226221406,3,BAH,adopted
permember,0.46185153728578643,0.49615920418339443,0.2895947338327773,0.17761524311723054,0.622143799404951,0.866292870811674,0.3832434818480011,0.3129120305764753,0.20523636214297786,0.6172374841206028,0.5485733141100078,0.9814061593281682,0.9610418749527954,0.8515415715270194,0.81728347436551,3,BAH,permember
tau_prot,0.4620159021094004,0.4965604274647074,0.2888541183165928,0.17755332558453954,0.6226970757526414,0.8662376602109996,0.38317722184040154,0.3137593549517508,0.2052698116995094,0.6173607581491064,0.5486431092387476,0.9814089269153116,0.961054806193148,0.851452913282629,0.817124056362703,3,BAH,tau_prot
asym_up,0.46169696024797247,0.49650217437496597,0.2879157296651236,0.1775748437474735,0.6222417402530814,0.8664319498993704,0.3827913088780995,0.31359788602570837,0.2042255724660501,0.6172476258075037,0.5484657753894279,0.9814383934857456,0.9610933445642394,0.8516902743875825,0.8169441707237454,3,BAH,asym_up
asym_down,0.46154343067032544,0.49650015336700903,0.28665483111408285,0.17753188332883804,0.6228152168982387,0.8664734686377757,0.38236724275701073,0.31365258547719227,0.20391205851941221,0.6174469055142009,0.5479861380555316,0.9814513314039317,0.961123933324315,0.8516256464369935,0.8171292588828705,3,BAH,asym_down
seen_only,0.4609691983553634,0.4961795807569345,0.28499789734955244,0.17749580887164185,0.6221470808098271,0.8666086318103481,0.3815885135692618,0.31297091581644393,0.2028856449985703,0.6172401463487425,0.5471003360620239,0.9814806775279912,0.9611711784869388,0.8518103392271846,0.8168047281414722,3,BAH,seen_only
unseen_only,0.4622932938250169,0.4968370223496724,0.28957765646980577,0.17761086129409231,0.6233955180721392,0.8662946434765146,0.38360745060631274,0.314279628216718,0.20523733199690397,0.6175753619593407,0.5494314847895457,0.9814081522468938,0.9610460994016156,0.851497903711049,0.8172687014651439,3,BAH,unseen_only
base,0.43873216319515973,0.5230456711849979,0.2653932529466383,0.22667223001051726,0.6345157388898071,0.8549012399280121,0.3763323924443238,0.2194950559251763,0.19702651856125736,0.6300045140757723,0.5472810158722473,0.9801766901002269,0.9586428171385515,0.8406552024398184,0.8176202284831158,7,BAH,base
adopted,0.439721177498985,0.5228206246511059,0.26988336090481935,0.2268399609946577,0.6331331111935615,0.8547315443749063,0.37828402008417994,0.21936206636798722,0.19966019007149288,0.629714739317915,0.5485587676654231,0.9801433974323396,0.9585966308276955,0.8405447826421983,0.8180503743196621,7,BAH,adopted
permember,0.439724296263858,0.5228182286064095,0.26989981217302866,0.2268459071675254,0.6331264970423565,0.8547309567742284,0.37829112049795055,0.21936245507644167,0.19966328765278762,0.6297140299706108,0.548575464832355,0.9801432658587664,0.9585964780148453,0.8405446237215406,0.8180749669959745,7,BAH,permember
tau_prot,0.4397247298571483,0.5229982026868045,0.26936982239894675,0.2267807308607067,0.6335852275038781,0.8546633317114958,0.3781295879531654,0.21953067904950502,0.1997461738471106,0.6298035133542919,0.54847889223611,0.9801360995490209,0.9585954383537029,0.8404387215826833,0.8181276856315518,7,BAH,tau_prot
