model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,seed,strain,k
k=0.75,0.47625045331789634,0.4997811975532655,0.33424398048626086,0.24620577924279086,0.6211610291643229,0.8797417764967722,0.40803554190042485,0.24993990671645605,0.279603518179615,0.6431686175545703,0.5613533161752885,0.9848468083484626,0.9677391406682485,0.8590292844460337,0.8292720171889713,6,CGD,0.75
k=1.0,0.4763125109674736,0.4997811975532655,0.33438974333182364,0.2463421168598758,0.6211610291643229,0.8797880002113379,0.40811210026707334,0.24993990671645605,0.2797341449271692,0.6432367001914607,0.561368110211332,0.9848583741817205,0.9677626266429586,0.859069652921207,0.8292404475843362,6,CGD,1.0
k=1.5,0.4763559522881334,0.4997811975532655,0.3345189549450002,0.24644405375557146,0.6211610291643229,0.8797793998721358,0.4081775540935179,0.24993990671645605,0.27984014145396713,0.6432920010781474,0.5614094809685469,0.9848705815633562,0.9677880798033441,0.8590821789138023,0.8293001226956782,6,CGD,1.5
k=0.0,0.4634692367265215,0.4968370223496724,0.29909901216165335,0.1781220340464286,0.6233955180721392,0.8641957683550472,0.3870926892155099,0.314279628216718,0.20827717028524875,0.6175371024343098,0.5518368161562035,0.9810253059874926,0.960313682121888,0.8492022428507653,0.8180041193192759,3,BAH,0.0
k=0.25,0.4635755985524489,0.4968370223496724,0.2992864574025118,0.1782854439476642,0.6233955180721392,0.8643410650157144,0.3871837151222607,0.314279628216718,0.20847903768622567,0.6176636907844332,0.5518670901941761,0.9810462879364216,0.9603560337601112,0.8493295196103281,0.8180309333809261,3,BAH,0.25
k=0.5,0.463673381281642,0.4968370223496724,0.29945869192067065,0.17843689834883225,0.6233955180721392,0.8644689837105701,0.3872675452067095,0.314279628216718,0.20866808490654778,0.6177798678957237,0.5519033764724997,0.9810655186883375,0.9603949949977945,0.8494424532161149,0.8180812559583063,3,BAH,0.5
k=0.75,0.46376170904222747,0.4968370223496724,0.2996156396498543,0.17857631714829172,0.6233955180721392,0.8645794744938611,0.3873441405146985,0.314279628216718,0.20884423308793898,0.6178856175093949,0.5519289000581953,0.9810829979670459,0.9604305678733807,0.8495408191213644,0.8181077350841752,3,BAH,0.75
k=1.0,0.4638412862703486,0.4968370223496724,0.29975721429791863,0.17870361521611683,0.6233955180721392,0.8646725178510097,0.3874134576942704,0.314279628216718,0.20900739253191816,0.6179809151896736,0.5519584521576897,0.9810987234690107,0.9604627506858093,0.849624562064757,0.8181534039779519,3,BAH,1.0
k=1.5,0.46397202914429303,0.4968370223496724,0.2999939708232684,0.17892156679879756,0.6233955180721392,0.8648064330219928,0.3875301184227428,0.314279628216718,0.2092944601648254,0.6181400885169456,0.5519877281241087,0.9811249092413981,0.960516948234028,0.8497488386015837,0.8181719776376918,3,BAH,1.5
k=0.0,0.44145848902079377,0.5230456711849979,0.2790056986453358,0.22761403143574488,0.6345157388898071,0.8528218282445255,0.38282849078370984,0.2194950559251763,0.2033704179910311,0.6301354293225686,0.5520072592092579,0.9798053463360092,0.9579473373631349,0.8383694425622871,0.8184047869476747,7,BAH,0.0
k=0.25,0.44157177321513463,0.5230456711849979,0.2791906577501774,0.22780515805223614,0.6345157388898071,0.8529814311981556,0.3829369609994431,0.2194950559251763,0.20355935039105721,0.6302791296179785,0.5520490500119629,0.9798288673860789,0.9579950303681355,0.838491424105709,0.8184541219291421,7,BAH,0.25
k=0.5,0.4416746732015454,0.5230456711849979,0.2793608972774299,0.22798199684272127,0.6345157388898071,0.8531219439527901,0.38303690337016827,0.2194950559251763,0.2037355414487559,0.6304113097352508,0.5520761624026747,0.9798504369245877,0.9580389317988273,0.8385998289416673,0.8184712592736489,7,BAH,0.5
k=0.75,0.4417681702412344,0.5230456711849979,0.2795163344065367,0.22814444500071912,0.6345157388898071,0.8532433246153661,0.383128267373866,0.2194950559251763,0.2038989079939857,0.6305319432646708,0.5521090272879042,0.9798700537392073,0.9580790422555892,0.8386944936732311,0.8185137089207922,7,BAH,0.75
k=1.0,0.44185141829313945,0.5230456711849979,0.2796568893000609,0.22829241818660886,0.6345157388898071,0.8533455743850022,0.383211005980995,0.2194950559251763,0.20404936721397487,0.6306410104063587,0.5521313250484842,0.9798877163275082,0.958115361770282,0.838775412994781,0.8185336683285599,7,BAH,1.0
k=1.5,0.4419881886766432,0.5230456711849979,0.2798930658408278,0.2285445977715147,0.6345157388898071,0.8534928413968711,0.38335043377659145,0.2194950559251763,0.2043112742712818,0.6308243547865876,0.5521662087034138,0.9799171723975258,0.9581766259498178,0.8388966981840786,0.8185651010881686,7,BAH,1.5
k=0.0,0.4672210259370936,0.49253192927459993,0.3050969964855472,0.16384440190525676,0.6448181940016886,0.8624550744465582,0.3850943233684076,0.32764536432817803,0.21870886990746047,0.6172357006184626,0.549240265934122,0.9805778654953428,0.9590697292775087,0.8480333629890523,0.8166547423624432,8,BAH,0.0
k=0.25,0.46733301322267673,0.49253192927459993,0.30528931508723123,0.1640319526528271,0.6448181940016886,0.8626075192866296,0.38519337230488726,0.32764536432817803,0.21891442499742272,0.6173758620594922,0.5492724443611914,0.9806003925403034,0.9591148541228145,0.8481651458680776,0.8166788971136973,8,BAH,0.25
k=0.5,0.4674349893424709,0.49253192927459993,0.3054642726922501,0.16420767139500075,0.6448181940016886,0.8627409889744037,0.3852841923820082,0.32764536432817803,0.21910510714762085,0.6175050607698933,0.5493028615987815,0.9806209512508438,0.9591561800453323,0.8482815134967466,0.8167070616056187,8,BAH,0.5
k=0.75,0.4675266847792188,0.49253192927459993,0.3056217527436623,0.16437145018808616,0.6448181940016886,0.8628554019259591,0.38536672436984065,0.32764536432817803,0.2192807960037148,0.6176232635210637,0.5493272976616378,0.9806395383173565,0.9591937040714987,0.8483821854718779,0.8167241081168604,8,BAH,0.75
k=1.0,0.4676092490292048,0.49253192927459993,0.30576167440474133,0.16452320689035055,0.6448181940016886,0.8629507541689875,0.3854409261730103,0.32764536432817803,0.219441407096405,0.6177304544853415,0.5493693383740802,0.9806561535730265,0.9592274286501694,0.8484671127597606,0.8168028174448206,8,BAH,1.0
k=1.5,0.4677414863224095,0.49253192927459993,0.3059885187755001,0.16479032416319137,0.6448181940016886,0.8630844539017385,0.3855641704990898,0.32764536432817803,0.21971705753420254,0.6179117125033249,0.5493979458896142,0.9806834610839573,0.9592834768054678,0.8485904789597628,0.8168175156729505,8,BAH,1.5
