model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,seed,strain,k
k=0.5,0.47368609735005884,0.4997812011673574,0.3173047880895771,0.24381856774872926,0.6211610266347504,0.8827793252584187,0.400853765576122,0.2499399176910621,0.2732142324878049,0.6442041136972072,0.5573109899770099,0.9851505853125108,0.9687113520419298,0.8630464086850907,0.8285145648328066,6,CGD,0.5
k=1.0,0.4726969715194454,0.4997812011673574,0.3147842125345943,0.24099578051338294,0.6211610266347504,0.8818213005836824,0.3994706035007562,0.2499399176910621,0.2711112976027481,0.6442994791405862,0.5564973910939832,0.9850222590755265,0.9684668726329162,0.8627337051698222,0.8285998063174328,6,CGD,1.0
k=1.5,0.47035575025705334,0.4997812011673574,0.3096125819657577,0.23571411764138497,0.6211610266347504,0.8793629110391136,0.3966976854408256,0.2499399176910621,0.26654824935518356,0.6427155269931326,0.5547912116092363,0.9847123266561756,0.9678519791051285,0.8617056062177296,0.8281429199755375,6,CGD,1.5
k=2.0,0.46681257045247826,0.4997812011673574,0.3021529574741532,0.2283911129947687,0.6211610266347504,0.8754917892746509,0.3927356353055072,0.2499399176910621,0.25988051525981976,0.6395567080932408,0.5522109274334169,0.984221418623701,0.9668666638936225,0.860312127415661,0.8270366059149038,6,CGD,2.0
k=0.0,0.46139843980151685,0.4968370262697097,0.28499789914767965,0.17749581090664499,0.623395516918659,0.8666105718813151,0.38195017852879654,0.31427963587856816,0.20288564643726922,0.6175764826488137,0.5479615213001168,0.9814823491512491,0.9611747882950085,0.8517732822419594,0.8167770069844755,3,BAH,0.0
k=0.5,0.46143346016136877,0.4968370262697097,0.2848465548467814,0.17743025572808788,0.623395516918659,0.8665670858503908,0.38188638602308933,0.31427963587856816,0.20313468108550534,0.6176499278450109,0.5480118061640497,0.9814706585807622,0.9611720697447478,0.8517784316070368,0.8170658910481859,3,BAH,0.5
k=1.0,0.4612981351202095,0.4968370262697097,0.284373254119096,0.1771315572941676,0.623395516918659,0.8662442724437441,0.3816731940185897,0.31427963587856816,0.20311674368185592,0.6175304041706117,0.5479733159533439,0.9814236695957516,0.9611007596466927,0.851601536120889,0.8173864546727694,3,BAH,1.0
k=1.5,0.4609917883706496,0.4968370262697097,0.2835819522252121,0.17660308900042995,0.623395516918659,0.8656613775713548,0.3813125123249142,0.31427963587856816,0.20283489790857093,0.6172187477878148,0.5477320647788148,0.9813413313995313,0.9609608565919486,0.8513196479244718,0.8174004734050518,3,BAH,1.5
k=2.0,0.4605218104837787,0.4968370262697097,0.28248000923198785,0.1758509707505932,0.623395516918659,0.8648309530821565,0.38080787176602476,0.31427963587856816,0.20229537117170138,0.6167164891300377,0.5473400320556702,0.981223617940361,0.9607523631390111,0.8509829703984305,0.8172482021890692,3,BAH,2.0
k=0.0,0.43873216160640366,0.5230456715630687,0.26539325259720115,0.22667222815652932,0.634515729562066,0.8549012398096663,0.37633239154870735,0.21949504894113214,0.19702651832541207,0.6300045114751562,0.5472810231293825,0.9801766901076115,0.958642817146008,0.8406552021668867,0.8176202284831158,7,BAH,0.0
