model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,seed,strain,ks,kc
x,0.43343211369937185,0.510210503675313,0.2679224238076245,0.2162727364986878,0.6309247802293394,0.8490862455786456,0.3716318916245118,0.2026185898180943,0.203193563970384,0.6236694042937323,0.543550409808916,0.9795566646976548,0.9572825878946793,0.8336903932674231,0.8144247676417572,7,BAH,1.8,1.4
x,0.4660153807812986,0.49475457860271627,0.30507890689394146,0.23805758632414073,0.6180416954979608,0.8783967123674319,0.3929328710747256,0.23912640876724414,0.2636823942155461,0.6386689694472927,0.5534832599568691,0.9843617800607899,0.9671612979987686,0.8589375744192287,0.8258274538876406,6,CGD,1.0,1.0
x,0.46539765393139415,0.49294161932891106,0.30507890689394146,0.23729384144325621,0.6180416954979608,0.8782635450338504,0.39210598450838424,0.2375132397423474,0.2636823942155461,0.6383777158985396,0.5528310083219053,0.9843389940471509,0.9671142086789654,0.8588098022717484,0.8251382116253797,6,CGD,1.0,1.1
x,0.46469851771439763,0.49075991159653903,0.30507890689394146,0.23650980249206952,0.6180416954979608,0.8781147671911781,0.39112812520987567,0.23571199509047613,0.2636823942155461,0.6380740390228506,0.5521450242040705,0.9843144219311828,0.9670632895763218,0.858662684552738,0.8244706646753779,6,CGD,1.0,1.2
x,0.4639255762831687,0.48821692867230826,0.30507890689394146,0.2357060455577657,0.6180416954979608,0.8779504232948011,0.39000237388280695,0.2337567021522695,0.2636823942155461,0.6377581193648253,0.551425338869221,0.9842880638942929,0.9670085407087048,0.8584963982496774,0.8238182742266905,6,CGD,1.0,1.3
x,0.46308179124486554,0.48532367834261664,0.30507890689394146,0.23488316301337098,0.6180416954979608,0.8777705583419083,0.38873323561421863,0.23167284223395476,0.2636823942155461,0.6374301439511462,0.550606179758287,0.9842599202261824,0.9669499620145042,0.8583111245317515,0.823030141641934,6,CGD,1.0,1.4
x,0.4667263113989237,0.49475457860271627,0.3079131322497749,0.23650980249206952,0.6180416954979608,0.8776051875270178,0.393886327999319,0.23912640876724414,0.2670693751717619,0.6380740390228506,0.5537426240720823,0.9842824292017731,0.9669489042568761,0.857987432009316,0.8260252569081722,6,CGD,1.2,1.0
x,0.46608922751398574,0.49294161932891106,0.3079131322497749,0.23554298172017554,0.6180416954979608,0.8774559668800603,0.3930335584136025,0.2375132397423474,0.2670693751717619,0.6376934834688205,0.553075464097381,0.9842568517933127,0.9668963362728593,0.8578453310533135,0.8253344371144106,6,CGD,1.2,1.1
x,0.4653686768352137,0.49075991159653903,0.3079131322497749,0.23454878841384377,0.6180416954979608,0.8772897161799902,0.39202891391071076,0.23571199509047613,0.2670693751717619,0.6372956206209907,0.5523533801398254,0.9842293034648337,0.9668395527478786,0.8576823792892218,0.824595707702229,6,CGD,1.2,1.2
x,0.46457404522262313,0.48821692867230826,0.3079131322497749,0.23352825466698957,0.6180416954979608,0.8771064855305586,0.39087553331454744,0.2337567021522695,0.2670693751717619,0.6368807851360844,0.5516114161891955,0.9841997845579253,0.9667785537123142,0.8574987757754973,0.8239187399106124,6,CGD,1.2,1.3
x,0.4637053657833938,0.48532367834261664,0.3079131322497749,0.23248243503601,0.6180416954979608,0.8769063258981851,0.38957798061969295,0.23167284223395476,0.2670693751717619,0.6364493111411761,0.5507246170714505,0.9841682955519685,0.9667133391180118,0.8572947248979681,0.8229763540192832,6,CGD,1.2,1.4
x,0.4672065391302043,0.49475457860271627,0.3102226409712464,0.23488316301337098,0.6180416954979608,0.8765653830427323,0.3946166931218138,0.23912640876724414,0.26991586000170475,0.6374301439511462,0.5537564218460005,0.9841757661879442,0.9666661990280331,0.856740720857177,0.8258967008653458,6,CGD,1.4,1.0
x,0.4665482944755466,0.49294161932891106,0.3102226409712464,0.23370012880945165,0.6180416954979608,0.8763975981930933,0.3937363660726167,0.2375132397423474,0.26991586000170475,0.6369510895462968,0.5530750883066714,0.9841470446931475,0.9666074159555433,0.856582213486971,0.8252077621050512,6,CGD,1.4,1.1
