model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,seed,strain,beta,tau
x,0.5056382708202576,0.49005622810357086,0.353951725458287,0.22696221345483789,0.6456178777188678,0.8923390270071947,0.4128206507794994,0.36414833000653113,0.2947555136457665,0.6356659696091198,0.5723587406514432,0.9870087489145742,0.9728247731597557,0.8735710181583026,0.8391956539775715,1,CGD,0.4,1.5
x,0.5055055642625588,0.49036127399882945,0.35280979669728696,0.22688834633179825,0.6453718712909354,0.8923514468422117,0.4125073419777305,0.36499451040557895,0.2937323936623096,0.63555792356215,0.5721453245978223,0.9869921773015075,0.9727997540577792,0.8736208758967101,0.8390836250227048,1,CGD,0.5,2.0
x,0.47065479647478553,0.5086496831027568,0.31909043936615217,0.2456373329428175,0.6360099210719503,0.883846349170525,0.40647476163512986,0.23557938325979796,0.2723661500027667,0.6265989369054724,0.5603567177767569,0.9855161056639127,0.9698768934676975,0.864381703881,0.8302579809013265,5,CGD,0.0,1.0
x,0.4714244414346217,0.5086319158323493,0.32157922186031795,0.24580218180549124,0.6359422102299528,0.8838065789132304,0.4074737405528795,0.23615828341847453,0.27422871688373585,0.6266985188144771,0.5609487714373197,0.9855296524182812,0.969886208688539,0.8642956862470198,0.8305738640523175,5,CGD,0.1,1.0
x,0.471738290094775,0.5086006917798052,0.3227045125095273,0.245883588773333,0.6357647030147617,0.8837500707990429,0.4079075597722212,0.2364021792300863,0.2750132497864391,0.6266912602761112,0.5611834832198991,0.9855299224121121,0.9698742439493727,0.8642118468310434,0.8307586121031887,5,CGD,0.15,1.0
x,0.4720060811283931,0.5085551182188094,0.32375798780161696,0.2459643232764984,0.6355027057307787,0.8836694606790345,0.40830155226870674,0.23661337932384127,0.2757059481080695,0.6266490051560571,0.5613606984684331,0.9855259799550005,0.9698511977218479,0.8641019159286303,0.8308579060338299,5,CGD,0.2,1.0
x,0.4722304021395698,0.5084955947618206,0.3247447783427494,0.2460443768128639,0.6351636349450847,0.8835649793470347,0.40865838984730135,0.2367905115902731,0.2763120756257299,0.6265737613509879,0.5614983046007632,0.985517917090548,0.9698170699360227,0.8639667265306888,0.8309342484581316,5,CGD,0.25,1.0
x,0.47241455068053184,0.508422519939356,0.32566960396072564,0.2461237534361434,0.6347541993566753,0.8834368555424873,0.40898053725569206,0.2369325556367053,0.276837216727551,0.6264673585090984,0.5616270986870048,0.9855058256472257,0.9697718606917914,0.8638070999362089,0.8310502374318136,5,CGD,0.3,1.0
x,0.47174663438589165,0.5085830917337527,0.32289190910631527,0.24585220084121767,0.6356864438253562,0.8837115999140819,0.4079656852385315,0.23635115095698123,0.2750968403450566,0.6266631808061744,0.5611395350483477,0.9855258776508566,0.9698577437130076,0.8641706643948258,0.8306509989951094,5,CGD,0.2,1.25
x,0.4720806645707197,0.5084944983473025,0.3244374565813518,0.24595760205139122,0.6350863999264282,0.8835298736094491,0.40851940282904475,0.23661514372812137,0.2760069263935116,0.6265194034457915,0.5613696954532572,0.9855088598636514,0.9697918449661613,0.8639448072451157,0.8308875796415622,5,CGD,0.3,1.25
x,0.47155684606053216,0.5085996130876883,0.3222508618184221,0.24578721465938944,0.6358096471768316,0.883745426622901,0.4077169674158766,0.23616783049355833,0.2746383663871386,0.6266730635045438,0.5609994631077808,0.985526022725821,0.9698642189383531,0.8642228662043163,0.8306004886482289,5,CGD,0.2,1.5
x,0.4718337485161245,0.5085379172144063,0.323527826912311,0.2458610595362445,0.6353205371610866,0.8836036000770464,0.4081777931888182,0.23638325719068587,0.2753867258616942,0.626559287321606,0.5611730972174799,0.9855117394657715,0.969810146850114,0.8640492008147053,0.830741925727784,5,CGD,0.3,1.5
x,0.47200820040857744,0.5084531877835797,0.3246372481610001,0.24593417038841453,0.6346225542688106,0.8834025010080617,0.40854930532299805,0.23654324137752575,0.27591516564026775,0.626358669729829,0.5612565099934788,0.9854852975566437,0.9697242514430066,0.8638185859939149,0.8308362762238561,5,CGD,0.4,1.5
x,0.4716848090209008,0.5084882263825758,0.3237691530403139,0.24584536607215368,0.6344217318890121,0.8834140788369141,0.4081940946754499,0.23627143593864797,0.2751224204818106,0.6262628534315314,0.5609682591482117,0.9854680504449889,0.9696982304821722,0.8638737038029893,0.8306548518253581,5,CGD,0.5,2.0
x,0.4732412940931039,0.4997811975532655,0.3170063157177636,0.24397266826133818,0.6211610291643229,0.8821398529338934,0.4007522217791464,0.24993990671645605,0.2726909993841497,0.6423769615453513,0.557227813737646,0.9850972231288035,0.9685854179500305,0.8622552684032349,0.8278027638503621,6,CGD,0.0,1.0
x,0.4736079056849752,0.499605665921096,0.3195176990043267,0.24410981836154472,0.6208769576825607,0.8820268029861009,0.4017005022622622,0.24929458505458088,0.27397744440695704,0.6423549826710189,0.5577503072555988,0.9850947702422915,0.968559011795729,0.862074832072679,0.8280572676635455,6,CGD,0.1,1.0
x,0.47372595587283706,0.4994958675976834,0.32066714893355347,0.24417743407250384,0.6205885598285037,0.8819403090705031,0.4021131328839201,0.24890301508523163,0.27451699137921903,0.6422896919653918,0.5579328069665418,0.9850881299229404,0.9685325395524386,0.8619507279958809,0.8281387845770509,6,CGD,0.15,1.0
x,0.4738039766373031,0.4993719628656575,0.3217513586458234,0.2442444095103303,0.6202144025621779,0.8818340451996219,0.40248801749882673,0.24846627922938638,0.274991255938313,0.6421913040877076,0.558090515607228,0.9850779560142896,0.9684972211360849,0.8618047954342873,0.8282639293021543,6,CGD,0.2,1.0
x,0.4738431596071987,0.49923437958688244,0.32277418515503026,0.24431074224684843,0.6197623360900243,0.8817081684775573,0.40282739738524137,0.24798545438666203,0.27540349309608997,0.6420618900199992,0.55821396133653,0.9850643056682211,0.968453056645189,0.8616376050313015,0.8283692565525049,6,CGD,0.25,1.0
x,0.4738441164577233,0.4990835398516421,0.3237392360801288,0.24437643849086169,0.6192394572310613,0.8815628348988075,0.40313336302897107,0.247461992583387,0.2757571292658818,0.6419033304634207,0.5582810260904624,0.9850472361105136,0.9684000461031868,0.8614497229879141,0.8284171777571206,6,CGD,0.3,1.0
x,0.4737199807118123,0.4995172117384187,0.3208093619807803,0.24415169740408646,0.6203873912990512,0.8818895474418375,0.4021632812241485,0.24901097286622992,0.27440283501132995,0.6422173169015553,0.557935153034803,0.9850795695207807,0.9685081403838613,0.8618939755963401,0.8281226738210659,6,CGD,0.2,1.25
x,0.4737768683188501,0.49933132110042583,0.3223956143266347,0.2442393211335083,0.6195567164833067,0.8816740416383473,0.40269041380981696,0.24838548381960776,0.2749450295858142,0.6419749263384711,0.5581172244758982,0.9850529787162128,0.9684256038854665,0.86161649265198,0.8283261150412184,6,CGD,0.3,1.25
x,0.4736466368636851,0.4996080191289453,0.3201246432558577,0.244099266658725,0.6205304628452952,0.8819350637338247,0.4019243108923314,0.24932617071113783,0.27399295701878573,0.6422450627767712,0.5578042914035091,0.9850814289849906,0.9685187409808925,0.8619642918395348,0.82807531558528,6,CGD,0.2,1.5
x,0.47370427018497857,0.4994849652382572,0.3214199672071663,0.24416158356599657,0.6198258799283828,0.881762340636351,0.40236346943591095,0.24891596682909017,0.274383172341729,0.6420425048491898,0.5579371275929565,0.9850583406222281,0.9684487718292704,0.8617451997175449,0.828137245102898,6,CGD,0.3,1.5
