model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,seed,strain,variant
+cmpd_x_med_temp,0.45651164821459095,0.49152403580460036,0.28270187554225384,0.17839816664051472,0.6180191869081653,0.8657026089544365,0.37862243605869106,0.2989837651162443,0.19990836030994785,0.6160026432096557,0.5467365600565368,0.9814195633688738,0.9610678148431422,0.8506120154646993,0.8159699602918734,3,BAH,+cmpd_x_med_temp
+all,0.45706856266338997,0.49259391612513875,0.28353013983012254,0.1786101405729095,0.6168417111130008,0.8656501722637091,0.37934422943820656,0.30076764637581005,0.19989584146650252,0.6158481837682146,0.5476990981162498,0.981430345289857,0.9610862477356964,0.8502861880284434,0.817462961644986,3,BAH,+all
base,0.46168231659685344,0.48856628530120844,0.28968640098022314,0.1638966488489282,0.6418633584751434,0.8644530048429582,0.37741836968312453,0.31584052030061893,0.2118075515979914,0.6165089670442104,0.54513224246675,0.9810479781271723,0.9600112710124148,0.8499086972840033,0.816213771720952,8,BAH,base
+cmpd_x_tbin,0.46062379206489823,0.487670656102167,0.2894245146549016,0.16355082168241422,0.640470200702381,0.86407592958627,0.3768086128756795,0.3130346811323243,0.21090208607625469,0.6158934383764585,0.5445951129872543,0.9809828700825071,0.9598742783624716,0.8495737569204316,0.8153223338294933,8,BAH,+cmpd_x_tbin
+strain_x_med_temp,0.46187574976683166,0.4892445044161865,0.2895333190632821,0.16342294288502604,0.6421231721262075,0.8641071700091749,0.37759470406411993,0.3175273406983806,0.2113625484574864,0.6163172104877135,0.5449188173804382,0.9810087507603821,0.9599108727417862,0.8493826086944708,0.8159747073013087,8,BAH,+strain_x_med_temp
+cmpd_x_med_temp,0.46081454523800064,0.4880841110338686,0.2892491462360241,0.1640223284543541,0.6407005708484032,0.864235160083785,0.3769957626010065,0.3129050913319389,0.21143714294468924,0.6162428471254605,0.5445168200624061,0.9810276609167532,0.9599674880536474,0.8494895545456738,0.8150169670049722,8,BAH,+cmpd_x_med_temp
+all,0.46057422739185455,0.4876840630061595,0.2898407530123779,0.16283978462994989,0.6394727669774706,0.8637641103809808,0.37681039857424087,0.3131061267551096,0.21120199991428681,0.6152273648119422,0.5446888771404924,0.9809501784156852,0.9597912376608877,0.8491035625938801,0.8157489531224943,8,BAH,+all
base,0.46602706651841036,0.49476848001845813,0.3050885182115068,0.2380903801046766,0.6179969102718215,0.878397797599825,0.39294367511165007,0.23915748318246666,0.2636897998951849,0.6386678154048893,0.5535070012902724,0.9843618530642783,0.9671614559185813,0.8589360821699776,0.8259101329557309,6,CGD,base
+cmpd_x_tbin,0.46697632479473977,0.4965767966050542,0.30598538753555915,0.23911251254594165,0.6152006953018156,0.8785634024191253,0.3939864495402388,0.2423724915412194,0.26379179432381183,0.6381437797278582,0.5543959356012581,0.98437381806012,0.9672027075341633,0.8592449190062236,0.8268952380730423,6,CGD,+cmpd_x_tbin
+strain_x_med_temp,0.46621743891505646,0.49497701142331113,0.3054788690561262,0.23815447371351864,0.6165873375549341,0.8786298820670704,0.3931038518928051,0.2394716536486904,0.2639592455732744,0.6384567423974302,0.5536729088861011,0.9844093870998871,0.9672648015219851,0.8589908071946812,0.8258082124011792,6,CGD,+strain_x_med_temp
+cmpd_x_med_temp,0.46619632560837154,0.4953398335902428,0.3052174748364644,0.23911045413390003,0.6162834184478769,0.8784324289466554,0.39324607867742795,0.23924195885972777,0.26396391364421234,0.6385288125349484,0.554085287908012,0.9843651879697086,0.967175215040451,0.8589428036975527,0.8262375061429842,6,CGD,+cmpd_x_med_temp
+all,0.46672765004006206,0.49554027121324606,0.3070217229190273,0.2391100203602334,0.615043717298039,0.8785283859467685,0.39397972699691947,0.2404473819414235,0.2646826215235097,0.6380415754411499,0.5539376572875375,0.9844082055506956,0.9672393099364325,0.8589163853880515,0.8255636452217885,6,CGD,+all
