model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,seed,strain,beta,tau
b0.0_t1.0,0.4732412940931039,0.4997811975532655,0.3170063157177636,0.24397266826133818,0.6211610291643229,0.8821398529338934,0.4007522217791464,0.24993990671645605,0.2726909993841497,0.6423769615453513,0.557227813737646,0.9850972231288035,0.9685854179500305,0.8622552684032349,0.8278027638503621,6,CGD,0.0,1.0
b0.1_t0.5,0.4737697878703167,0.4993298360731437,0.3213069485386712,0.24439912620841517,0.62052774160723,0.8819761442374705,0.40233044291725173,0.24814596304954165,0.27511504501569983,0.6423510177886089,0.5580928980320099,0.9850966009090658,0.9685563983922332,0.8619709494649423,0.8282809463686504,6,CGD,0.1,0.5
b0.2_t0.5,0.4739554621859954,0.4987247465599826,0.32514647686183934,0.24481313484670997,0.6194274808557324,0.8816639484060965,0.4036280562827402,0.24575707331030977,0.27709594918293257,0.6421142474019061,0.5586725839050376,0.985073991398688,0.968473264956269,0.8615134714043259,0.8288016405536084,6,CGD,0.2,0.5
b0.1_t1.0,0.4736079056849752,0.499605665921096,0.3195176990043267,0.24410981836154472,0.6208769576825607,0.8820268029861009,0.4017005022622622,0.24929458505458088,0.27397744440695704,0.6423549826710189,0.5577503072555988,0.9850947702422915,0.968559011795729,0.862074832072679,0.8280572676635455,6,CGD,0.1,1.0
b0.2_t1.0,0.4738039766373031,0.4993719628656575,0.3217513586458234,0.2442444095103303,0.6202144025621779,0.8818340451996219,0.40248801749882673,0.24846627922938638,0.274991255938313,0.6421913040877076,0.558090515607228,0.9850779560142896,0.9684972211360849,0.8618047954342873,0.8282639293021543,6,CGD,0.2,1.0
b0.3_t1.0,0.4738441164577233,0.4990835398516421,0.3237392360801288,0.24437643849086169,0.6192394572310613,0.8815628348988075,0.40313336302897107,0.247461992583387,0.2757571292658818,0.6419033304634207,0.5582810260904624,0.9850472361105136,0.9684000461031868,0.8614497229879141,0.8284171777571206,6,CGD,0.3,1.0
b0.2_t1.5,0.4736466368636851,0.4996080191289453,0.3201246432558577,0.244099266658725,0.6205304628452952,0.8819350637338247,0.4019243108923314,0.24932617071113783,0.27399295701878573,0.6422450627767712,0.5578042914035091,0.9850814289849906,0.9685187409808925,0.8619642918395348,0.82807531558528,6,CGD,0.2,1.5
b0.4_t1.5,0.47367776104769355,0.49933904717197497,0.3225644160960588,0.24422324463120113,0.6189123626011899,0.8815437864226333,0.4027186880460452,0.24844117532488683,0.2746221898437958,0.6417621914262979,0.5580087915057849,0.9850255150304915,0.9683543821560034,0.8614808666714775,0.8282919887704067,6,CGD,0.4,1.5
b0.0_t1.0,0.46139843772806566,0.4968370223496724,0.28499789734955244,0.17749580887164185,0.6233955180721392,0.8666105713930918,0.38195017595170244,0.314279628216718,0.2028856449985703,0.6175764825084625,0.5479615313523539,0.9814823490774602,0.9611747881539886,0.8517732813881972,0.8167770069844755,3,BAH,0.0,1.0
b0.1_t0.5,0.4614593377285147,0.4959876709593455,0.2882265737897138,0.17764767939026105,0.6228255539220581,0.86636276488409,0.38272482605434577,0.3124593949393301,0.20425501709396118,0.6174298930085822,0.5483941306118764,0.9814342224499957,0.961091663382393,0.8515799411726624,0.8172786916769718,3,BAH,0.1,0.5
b0.2_t0.5,0.4612397830464816,0.494955669716285,0.2911961188537365,0.17779427714668514,0.6217777118717682,0.8659980400251959,0.3832974698287579,0.31000072712982624,0.20541417061718562,0.61708068844909,0.5484951837988313,0.9813679758619422,0.9609704423185474,0.8512415045990871,0.8174820661055664,3,BAH,0.2,0.5
b0.1_t1.0,0.4616426273598487,0.49655518516058716,0.28701346539320216,0.17755625636136457,0.6232351856820559,0.8665144280855435,0.3825486522817491,0.31373686845214227,0.20392539835275875,0.6175579407686123,0.5482866246892252,0.9814588073310723,0.9611365211801338,0.8517198632350249,0.8170517079857659,3,BAH,0.1,1.0
b0.2_t1.0,0.4617765181186676,0.496214684986231,0.28888321648209203,0.1776156630050043,0.6226906599951474,0.8663627458211753,0.3830459475048822,0.31304112630861375,0.20484578648606472,0.6174032207402205,0.5484955489050836,0.981424844470329,0.9610768949920216,0.8515982725860647,0.8172682075300758,3,BAH,0.2,1.0
