model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,seed,strain,variant
g1.10+h0.3,0.459007689998478,0.4910616300887574,0.3001636068561436,0.1782028472255658,0.6143776871304392,0.8636821469201375,0.3844268512032687,0.29852538444056403,0.20820566756127903,0.6141281307304778,0.5481104868043386,0.9809246967835588,0.9600859249166466,0.8489668078883162,0.8178456662349111,3,BAH,g1.10+h0.3
base,0.43873216319515973,0.5230456711849979,0.2653932529466383,0.22667223001051726,0.6345157388898071,0.8549012399280121,0.3763323924443238,0.2194950559251763,0.19702651856125736,0.6300045140757723,0.5472810158722473,0.9801766901002269,0.9586428171385515,0.8406552024398184,0.8176202284831158,7,BAH,base
g1.05,0.43976378872705685,0.5228813538461483,0.2702689737266545,0.22721649677359532,0.6329318621984491,0.8545815532591703,0.3785146869547923,0.21973979007920857,0.19930987474395523,0.6297119120635275,0.5487536433107831,0.9801319988078318,0.9585753277761255,0.8403499994489383,0.8181565621785378,7,BAH,g1.05
g1.10,0.4401595495959943,0.5222239074581038,0.27511177756408844,0.22777984948316513,0.629986644344007,0.85385467001069,0.38041713209063094,0.21823889189411244,0.20132753199277853,0.6288201505107949,0.5497806548548171,0.980017516145119,0.958356853471793,0.8395822170007801,0.8186299081304158,7,BAH,g1.10
g1.15,0.4397250172777216,0.5210104533363309,0.2798316082793745,0.22835938944301756,0.6256196520601011,0.8525635318418976,0.3819710594173987,0.21453301022436397,0.20290199918258522,0.6272026861324835,0.5502455112070835,0.9798046537085263,0.9579143813751789,0.8382136466449216,0.8189403995039286,7,BAH,g1.15
g1.20,0.43829091716496754,0.5191789346289547,0.28433482082604356,0.22895098325709762,0.6198064900177556,0.8505005938415648,0.38310878386183905,0.20831395388276977,0.203864571909448,0.624703154818437,0.5501516358181509,0.9794563725634905,0.9571440273942784,0.8360892779924359,0.8190374192833478,7,BAH,g1.20
h0.3,0.439721177498985,0.5228206246511059,0.26988336090481935,0.2268399609946577,0.6331331111935615,0.8547315443749063,0.37828402008417994,0.21936206636798722,0.19966019007149288,0.629714739317915,0.5485587676654231,0.9801433974323396,0.9585966308276955,0.8405447826421983,0.8180503743196621,7,BAH,h0.3
g1.05+h0.3,0.44017444335057765,0.5221368782322066,0.2751441181028092,0.22742561890584612,0.6293503797015523,0.8538710431613697,0.3803174173620073,0.21813131147714981,0.2018295600754421,0.6285297381132253,0.549514645119218,0.9799935423655051,0.9583056863095686,0.8396519689446537,0.8184813064587073,7,BAH,g1.05+h0.3
g1.10+h0.3,0.4395808092374194,0.5207067233390309,0.2801993634400786,0.22803935372633521,0.623889551130542,0.8522652077551004,0.3818808294393712,0.21425253456013582,0.20337636947983334,0.626436088660659,0.5497634130499348,0.9797157523181748,0.9577158831613848,0.8379793053676411,0.8186857447619864,7,BAH,g1.10+h0.3
base,0.46527140685463964,0.49253192927459993,0.291052189192826,0.16310235934372097,0.6448181940016886,0.8651370991463045,0.37967120512184893,0.32764536432817803,0.21402465182171337,0.6172283857372641,0.5453868788242359,0.9810532033110467,0.9599979861774024,0.8509962902743445,0.8155427597143103,8,BAH,base
g1.05,0.46468899086412363,0.49076679201031886,0.2960428086810688,0.16340199282587012,0.6435040533428774,0.8645900551871102,0.3807814137022737,0.3222210401445522,0.21576794507630384,0.6168733546602915,0.5458098778186543,0.9809645112541993,0.9598321279585615,0.850491676400611,0.8158229311038995,8,BAH,g1.05
g1.10,0.4633048668680115,0.48847804883963764,0.30099850856699295,0.16371537509833647,0.6409172109439198,0.8636770082899666,0.3815815417856379,0.31415981506130913,0.21725348248616286,0.6159953491296644,0.5458377068229568,0.980813348666435,0.9595383555727115,0.8495684545015791,0.8160294463507355,8,BAH,g1.10
g1.15,0.4609363460593746,0.4856121796915484,0.3058238837127824,0.1640413303848157,0.6370410738589667,0.8622702597641606,0.3820118200879402,0.3029065575771766,0.21835680806817429,0.6145129905556019,0.5455073379985418,0.980576167425615,0.9590632689530869,0.8481038928941194,0.8162746211692096,8,BAH,g1.15
g1.20,0.45741838325044826,0.48211740076341153,0.31041666133848633,0.16437802542141702,0.6318853946949138,0.8602034071350373,0.3820121550727973,0.28809090185606606,0.21894748376537454,0.6123322600263122,0.5446751985664423,0.9802222064339192,0.9583326551733562,0.8459574380270338,0.816199013449803,8,BAH,g1.20
h0.3,0.46537212574902254,0.49171395997996853,0.29541172478003436,0.1632409302485176,0.6433860231617097,0.8647448995941294,0.3809096149375208,0.32513447370868126,0.21594162717600948,0.6169269539333497,0.5457565305108657,0.9809755162565493,0.9598523167653816,0.85065181718853,0.8157318656162582,8,BAH,h0.3
g1.05+h0.3,0.4640105540061313,0.4893374574849232,0.30084362659837066,0.16358208432571938,0.6398971334888447,0.863698748935405,0.38180101207575917,0.31719884856125563,0.21756832523270048,0.6157877994826826,0.54576672986102,0.9807906301632499,0.959492750000123,0.8495985675299148,0.8160868189993522,8,BAH,g1.05+h0.3
g1.10+h0.3,0.46140193877955443,0.4861872282258255,0.3060575513324548,0.16394349604854117,0.6348363037826228,0.8620018770356984,0.3821904110285475,0.3053683257347563,0.21865979797851293,0.6138914891791261,0.5451837390942271,0.9804924247327901,0.9588916527381932,0.8478398022393255,0.816158480828983,8,BAH,g1.10+h0.3
