model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,seed,strain,k
k=2.0,0.4638199586691685,0.48860370850653606,0.29699899560263754,0.16287004823535342,0.6417856977586898,0.8602269445262605,0.3800553817597462,0.3159396008007782,0.22367824804501032,0.6157789556607065,0.5451851797750301,0.9805642001688397,0.9588702640726436,0.8445317151443444,0.8149975057552031,8,BAH,2.0
k=2.4,0.463920084957401,0.48860370850653606,0.2983609993459586,0.16220713474943646,0.6417856977586898,0.8573023593099474,0.3804785984591651,0.3159396008007782,0.22701451784459925,0.6152213670822037,0.544540060866487,0.9802231749022231,0.9580898447243058,0.8409009970201442,0.8136798277013594,8,BAH,2.4
k=3.0,0.46340166691547713,0.48860370850653606,0.2990877915999069,0.16096148908176358,0.6417856977586898,0.8516576607570036,0.3805797981743839,0.3159396008007782,0.23076675488105963,0.6141096667263897,0.5434589482294786,0.9795583557526429,0.9565732504096331,0.8341126142698918,0.8122890944854376,8,BAH,3.0
k=0.8,0.4569780011569751,0.49334434637215757,0.28034319452982015,0.17868518398617142,0.6205114612156158,0.8662694060283507,0.37876245014009075,0.3027943242414478,0.19710158799545652,0.6169022200724088,0.5472820592332103,0.9814921619928483,0.9612204658861183,0.8513044033880258,0.8166298107009609,3,BAH,0.8
k=1.0,0.457463229601418,0.49334434637215757,0.28187330136012206,0.17780587111685953,0.6205114612156158,0.8658474556452297,0.37918201329567996,0.3027943242414478,0.19957034727263728,0.6165735139583759,0.5473589889959481,0.9814321077952876,0.9610802184718804,0.8508075389535324,0.8164262402085377,3,BAH,1.0
k=1.2,0.45783394648286146,0.49334434637215757,0.28313703859565936,0.17687996461141733,0.6205114612156158,0.865246635414779,0.3794993535129149,0.3027943242414478,0.20182344746345843,0.6162010515901352,0.5473224304336438,0.9813509059636936,0.9608950787468004,0.8500766575668516,0.8161314182629931,3,BAH,1.2
k=1.4,0.45809625609376403,0.49334434637215757,0.28415050360170935,0.17590871573893696,0.6205114612156158,0.8644687001394474,0.37972041971168274,0.3027943242414478,0.20387165475956093,0.6157854477466927,0.5472134112616559,0.981248609049236,0.9606650467619274,0.849118724153097,0.8158020702618506,3,BAH,1.4
k=1.6,0.4582545981380834,0.49334434637215757,0.284930315417356,0.17489352384499304,0.6205114612156158,0.863515584578074,0.3798513693165822,0.3027943242414478,0.20572623637237983,0.6153273725196632,0.5470357903718236,0.9811252934752382,0.9603901224645143,0.84794140317729,0.8154624474350088,3,BAH,1.6
k=1.8,0.45831288966355105,0.49334434637215757,0.28549326355189913,0.17383593831366134,0.6205114612156158,0.8623893743636103,0.37989844274338413,0.3027943242414478,0.20739860075168812,0.6148275471138485,0.5467812878994169,0.980981059157126,0.9600703060160763,0.8465529349194612,0.8150362066823864,3,BAH,1.8
k=2.0,0.4582746396495593,0.49334434637215757,0.2858560290445426,0.1727376412850213,0.6205114612156158,0.8610922717427208,0.3798678609573128,0.3027943242414478,0.20890005150955662,0.6142867319340487,0.5464334343616223,0.9808160285873924,0.9597055970942422,0.8449620095625104,0.8144805306609082,3,BAH,2.0
