model,TOTAL,FC[chem_only],FC[strain_only],FC[both],FC[time],M1_abs(20%),M2_rawFC(25%),M3_ctx(20%),M4_drug(20%),M5_bt(10%),M6_DEP(5%),sampPCC,sampR2,protPCC,dirAcc,seed,strain,k
k=1.6,0.5006716154782425,0.48722101324625083,0.34264937821962854,0.22080710353115454,0.6456562740191172,0.8857172456242517,0.4065850219956767,0.35691769748183144,0.29397857947637845,0.6328670375151784,0.5683190342262617,0.9860491466276006,0.970798164339606,0.866239606087769,0.835749803418482,1,CGD,1.6
k=1.8,0.5006365546730477,0.48722101324625083,0.3435049724691778,0.21990757871695574,0.6456562740191172,0.8838861751520108,0.406774135279036,0.35691769748183144,0.2957634102685449,0.6324072986174654,0.5677766882212921,0.9858617190556399,0.9702981345539962,0.8640949246617546,0.8349613693816494,1,CGD,1.8
k=2.0,0.5003891940450934,0.48722101324625083,0.34393077576796244,0.2189318225145135,0.6456562740191172,0.8817632707223798,0.4067946203888392,0.35691769748183144,0.29704449750907436,0.6318857175207966,0.5671374810629367,0.9856433601288037,0.9697116362156794,0.8616507077028684,0.8341307959526872,1,CGD,2.0
k=2.4,0.4993402976562712,0.48722101324625083,0.34371377025912336,0.21677335601744935,0.6456562740191172,0.8766642335605934,0.40641389313018955,0.35691769748183144,0.29834939175769354,0.6306644952351477,0.5656822058037081,0.9851168845931125,0.9682792346721351,0.8559497114878377,0.8325920177865455,1,CGD,2.4
k=3.0,0.49661764759076016,0.48722101324625083,0.34138898863220213,0.21309607105487802,0.6456562740191172,0.8669626043369691,0.4050465405335116,0.35691769748183144,0.2979378693673527,0.6284146133134001,0.5630183377762309,0.9841140578044856,0.9654821212595321,0.8456755148864297,0.8299989756274774,1,CGD,3.0
k=0.8,0.4631394860716668,0.4909242615441025,0.28875432892158925,0.1637652688375219,0.6434996397598314,0.8647834844788599,0.3781374330860055,0.32337817574122335,0.21016201242869542,0.6168819580496239,0.5450439493089457,0.9810680479651338,0.9600912667316813,0.8504396990813871,0.815578308396095,8,BAH,0.8
k=1.0,0.4639556523754304,0.4909242615441025,0.2911865353677613,0.16359005429885173,0.6434996397598314,0.8643773170893397,0.3790341379722425,0.32337817574122335,0.2134403197853597,0.6168085374308656,0.5455420323219728,0.9810199071792044,0.9599743845768728,0.8499377090062284,0.8161051789121444,8,BAH,1.0
k=1.2,0.46462385185355737,0.4909242615441025,0.2932832833447988,0.16337909031648828,0.6434996397598314,0.8637571883776647,0.37979879336811206,0.32337817574122335,0.21642795005383542,0.6166958721536624,0.5458380692323668,0.9809463142191174,0.9598040052948803,0.8491547625874443,0.8163124123924883,8,BAH,1.2
k=1.4,0.4651495097647726,0.4909242615441025,0.29506172454877744,0.16313247458612265,0.6434996397598314,0.8629253904775454,0.38043790907238223,0.32337817574122335,0.21913693596966624,0.6165450402545383,0.5459485606707226,0.9808473637120919,0.9595801290991445,0.8480999316904028,0.8162191459309882,8,BAH,1.4
k=1.6,0.4655423482759103,0.4909242615441025,0.2965404292385285,0.16285040000530618,0.6434996397598314,0.8618844483418655,0.38095854546343505,0.32337817574122335,0.22158064806858196,0.6163561351111069,0.5459688793721341,0.980723178048445,0.9593027557804708,0.8467831949668049,0.8160855277724663,8,BAH,1.6
k=1.8,0.465797954523898,0.4909242615441025,0.29773886142650896,0.16253315469006538,0.6434996397598314,0.8606370774426209,0.38136811473191834,0.32337817574122335,0.22377329555294792,0.6161291009708992,0.5457061199294012,0.9805739069618847,0.9589718855493579,0.8452152631000329,0.8153067829250933,8,BAH,1.8
k=2.0,0.46593304208517305,0.4909242615441025,0.29867687803288284,0.1621811116241321,0.6434996397598314,0.8591861387904849,0.38167418974061107,0.32337817574122335,0.22572952409372093,0.6158640491887466,0.5453864401211954,0.9803997260482961,0.9585875180306423,0.8434074080962066,0.8145688409258568,8,BAH,2.0
k=2.4,0.46586326965621094,0.4909242615441025,0.2998504770063385,0.16137460580195184,0.6434996397598314,0.8556855162718633,0.3820059827382793,0.32337817574122335,0.22899156861792933,0.6152210166897822,0.5445724035291938,0.9799774626437587,0.9576582918961358,0.8391189254906489,0.8130699972672933,8,BAH,2.4
k=3.0,0.46499278178997744,0.4909242615441025,0.3001346703843131,0.15991843846783832,0.6434996397598314,0.8489838125417963,0.38191013068838536,0.32337817574122335,0.2324718723881218,0.6139802868652551,0.5430089659425444,0.9791630174253533,0.9558632254808038,0.8311849328790751,0.8107891448962207,8,BAH,3.0
